"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br> och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)","Totala utsläpp"
1990,0.56,4.15,3.93,9.24,6.41,7.41,18.97,20.6,71.27
1991,0.5,4.22,3.96,9.04,7.38,7.09,18.89,20.3,71.38
1992,0.48,4.23,4.38,8.29,7.86,7.04,19.78,18.97,71.03
1993,0.51,4.1,4.13,8.25,7.75,7.36,19.01,20.13,71.24
1994,0.49,3.95,4.18,8.25,8.35,7.49,19.6,21.39,73.7
1995,0.63,3.94,3.95,7.87,7.5,7.31,19.71,22.19,73.1
1996,0.69,3.91,3.85,7.94,11.57,7.38,19.44,22.22,77
1997,0.91,3.88,3.89,7.13,7.11,7.41,19.51,22.27,72.11
1998,0.96,3.82,3.87,7.01,7.89,7.3,19.64,22.01,72.5
1999,1.17,3.67,3.67,6.54,6.18,7.09,20,21.04,69.36
2000,1.28,3.56,3.47,6.42,4.91,7.07,19.86,21.53,68.1
2001,1.38,3.51,3.33,5.6,5.74,7.01,20.02,22.3,68.89
2002,1.45,3.31,3.5,5.07,6.75,6.92,20.46,22.03,69.49
2003,1.51,3.16,3.53,4.77,7.75,6.8,20.67,21.64,69.83
2004,1.67,3.14,3.57,4.47,6.7,6.83,21.01,21.78,69.17
2005,1.68,2.99,3.59,3.31,5.79,6.68,21.26,21.02,66.32
2006,1.66,2.88,3.56,2.68,5.87,6.55,21.22,21.53,65.95
2007,1.67,2.68,3.47,2.46,5.7,6.56,21.53,20.75,64.82
2008,1.71,2.38,3.43,1.88,5.34,6.66,21.03,19.98,62.41
2009,1.64,2.27,3.47,1.64,6.52,6.43,20.59,15.63,58.19
2010,1.65,2.13,3.53,1.81,8.53,6.52,20.75,19.25,64.17
2011,1.57,2.02,3.51,1.44,6.28,6.5,20.37,18.11,59.8
2012,1.62,1.88,3.41,1.27,5.67,6.41,19.24,17.41,56.91
2013,1.61,1.76,3.34,1.15,5.56,6.47,18.8,16.58,55.27
2014,1.63,1.61,3.24,1.08,4.39,6.55,18.37,16.65,53.52
2015,1.61,1.49,3.26,1.01,4.58,6.56,18.46,16.38,53.35
2016,1.63,1.4,3.07,0.95,4.97,6.52,17.78,16.92,53.24
2017,1.63,1.34,3.07,0.9,4.43,6.64,17.36,16.95,52.32
2018,1.51,1.24,2.95,0.8,4.85,6.45,16.81,16.94,51.55
2019,1.42,1.14,3.13,0.79,4.44,6.47,16.51,16.3,50.2
2020,1.33,1.08,3.12,0.75,3.42,6.57,15.13,14.61,46.01
2021,1.34,1,3.17,0.78,4.1,6.45,15.14,15.74,47.72
2022,1.29,0.94,2.84,0.79,4.03,6.51,13.64,15.21,45.25
