"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,86,106,137,362,72,178,675,775
2000,60,93,130,256,45,172,700,925
2005,67,79,133,126,54,158,745,1062
2010,63,55,146,56,111,142,700,725
2015,54,39,125,32,81,141,623,642
2016,56,36,126,29,91,139,592,663
2017,50,32,120,30,94,141,549,660
2018,46,31,116,25,89,142,510,633
2019,44,28,124,22,94,141,505,613
2020,34,27,128,21,90,139,466,568
2021,33,25,128,21,97,138,468,603
