"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,15,150,137,257,210,178,718,522
2000,44,127,131,179,173,169,752,577
2005,56,103,122,91,207,159,808,522
2010,56,74,151,42,92,150,812,577
2015,47,50,139,24,63,157,708,285
2016,48,46,127,23,75,158,678,304
2017,47,42,128,23,75,159,608,294
2018,43,40,121,19,77,156,582,288
2019,41,36,136,17,71,155,576,264
2020,33,32,133,16,66,151,525,227
2021,30,30,133,16,46,152,528,247
