"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,19,227,112,392,86,432,757,168
2000,50,192,108,272,34,431,807,177
2005,63,156,155,141,83,432,877,121
2010,64,107,121,69,169,416,947,130
2015,59,73,103,39,112,421,822,126
2016,59,67,96,36,107,423,786,125
2017,59,64,103,36,112,428,792,100
2018,55,60,100,30,112,423,782,91
2019,51,53,106,28,108,418,772,91
2020,42,51,105,26,112,410,703,79
2021,38,45,117,26,122,412,705,71
