"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,72,555,510,1449,1163,189,2821,506
2000,244,478,425,982,900,173,2910,465
2005,308,394,416,479,1266,153,3079,354
2010,314,272,362,212,1671,147,2849,346
2015,363,182,385,111,1175,146,2584,266
2016,367,170,357,100,1078,143,2505,285
2017,368,161,356,98,1023,147,2399,236
2018,344,150,349,91,1140,142,2323,236
2019,325,134,353,80,1019,142,2302,194
2020,262,128,354,75,609,138,2081,167
2021,247,114,380,77,657,136,2098,167
