"Year","Region","Variable","Utilized Agric Area"
"2010","Uusimaa","Cultivated area (1 000 ha)",184.8
"2010","Varsinais-Suomi","Cultivated area (1 000 ha)",296.0
"2010","Satakunta","Cultivated area (1 000 ha)",145.5
"2010","Kanta-Haeme","Cultivated area (1 000 ha)",105.9
"2010","Pirkanmaa","Cultivated area (1 000 ha)",163.1
"2010","Paeijaet-Haeme","Cultivated area (1 000 ha)",84.0
"2010","Kymenlaakso","Cultivated area (1 000 ha)",85.8
"2010","South Karelia","Cultivated area (1 000 ha)",55.8
"2010","Etelae-Savo","Cultivated area (1 000 ha)",73.7
"2010","Pohjois-Savo","Cultivated area (1 000 ha)",148.7
"2010","North Karelia","Cultivated area (1 000 ha)",85.3
"2010","Central Finland","Cultivated area (1 000 ha)",99.2
"2010","South Ostrobothnia","Cultivated area (1 000 ha)",246.8
"2010","Ostrobothnia","Cultivated area (1 000 ha)",139.0
"2010","Central Ostrobothnia","Cultivated area (1 000 ha)",56.5
"2010","North Ostrobothnia","Cultivated area (1 000 ha)",225.5
"2010","Kainuu","Cultivated area (1 000 ha)",31.6
"2010","Lapland","Cultivated area (1 000 ha)",44.9
"2010","Aaland","Cultivated area (1 000 ha)",19.6
"2011","Uusimaa","Cultivated area (1 000 ha)",184.3
"2011","Varsinais-Suomi","Cultivated area (1 000 ha)",295.8
"2011","Satakunta","Cultivated area (1 000 ha)",144.9
"2011","Kanta-Haeme","Cultivated area (1 000 ha)",105.5
"2011","Pirkanmaa","Cultivated area (1 000 ha)",162.9
"2011","Paeijaet-Haeme","Cultivated area (1 000 ha)",83.7
"2011","Kymenlaakso","Cultivated area (1 000 ha)",85.8
"2011","South Karelia","Cultivated area (1 000 ha)",55.4
"2011","Etelae-Savo","Cultivated area (1 000 ha)",73.8
"2011","Pohjois-Savo","Cultivated area (1 000 ha)",149.3
"2011","North Karelia","Cultivated area (1 000 ha)",85.7
"2011","Central Finland","Cultivated area (1 000 ha)",98.7
"2011","South Ostrobothnia","Cultivated area (1 000 ha)",247.8
"2011","Ostrobothnia","Cultivated area (1 000 ha)",139.0
"2011","Central Ostrobothnia","Cultivated area (1 000 ha)",56.8
"2011","North Ostrobothnia","Cultivated area (1 000 ha)",227.6
"2011","Kainuu","Cultivated area (1 000 ha)",32.3
"2011","Lapland","Cultivated area (1 000 ha)",45.1
"2011","Aaland","Cultivated area (1 000 ha)",19.5
"2012","Uusimaa","Cultivated area (1 000 ha)",183.0
"2012","Varsinais-Suomi","Cultivated area (1 000 ha)",294.6
"2012","Satakunta","Cultivated area (1 000 ha)",144.2
"2012","Kanta-Haeme","Cultivated area (1 000 ha)",105.2
"2012","Pirkanmaa","Cultivated area (1 000 ha)",162.6
"2012","Paeijaet-Haeme","Cultivated area (1 000 ha)",83.2
"2012","Kymenlaakso","Cultivated area (1 000 ha)",85.3
"2012","South Karelia","Cultivated area (1 000 ha)",55.2
"2012","Etelae-Savo","Cultivated area (1 000 ha)",73.5
"2012","Pohjois-Savo","Cultivated area (1 000 ha)",148.6
"2012","North Karelia","Cultivated area (1 000 ha)",86.1
"2012","Central Finland","Cultivated area (1 000 ha)",96.7
"2012","South Ostrobothnia","Cultivated area (1 000 ha)",247.9
"2012","Ostrobothnia","Cultivated area (1 000 ha)",138.6
"2012","Central Ostrobothnia","Cultivated area (1 000 ha)",56.9
"2012","North Ostrobothnia","Cultivated area (1 000 ha)",227.4
"2012","Kainuu","Cultivated area (1 000 ha)",32.2
"2012","Lapland","Cultivated area (1 000 ha)",45.1
"2012","Aaland","Cultivated area (1 000 ha)",19.1
"2013","Uusimaa","Cultivated area (1 000 ha)",180.6
"2013","Varsinais-Suomi","Cultivated area (1 000 ha)",293.2
"2013","Satakunta","Cultivated area (1 000 ha)",140.2
"2013","Kanta-Haeme","Cultivated area (1 000 ha)",104.1
"2013","Pirkanmaa","Cultivated area (1 000 ha)",163.3
"2013","Paeijaet-Haeme","Cultivated area (1 000 ha)",82.5
"2013","Kymenlaakso","Cultivated area (1 000 ha)",83.7
"2013","South Karelia","Cultivated area (1 000 ha)",53.1
"2013","Etelae-Savo","Cultivated area (1 000 ha)",71.7
"2013","Pohjois-Savo","Cultivated area (1 000 ha)",146.4
"2013","North Karelia","Cultivated area (1 000 ha)",84.7
"2013","Central Finland","Cultivated area (1 000 ha)",93.5
"2013","South Ostrobothnia","Cultivated area (1 000 ha)",246.0
"2013","Ostrobothnia","Cultivated area (1 000 ha)",137.7
"2013","Central Ostrobothnia","Cultivated area (1 000 ha)",56.9
"2013","North Ostrobothnia","Cultivated area (1 000 ha)",226.8
"2013","Kainuu","Cultivated area (1 000 ha)",31.2
"2013","Lapland","Cultivated area (1 000 ha)",44.1
"2013","Aaland","Cultivated area (1 000 ha)",19.0
