"Year","Area","Long Distance Or Reg Heating Gross Floor Area (m2)","Oil Gas Floor Area m2","Electricity Floor Area m2","Coal Coke Floor Area m2","Wood Peat Floor Area m2","Ground Heat Floor Area m2","Other Floor Area m2"
"2010","MK01 Uusimaa",71643658,15867179,20368605,325759,2013425,1090428,3396580
"2010","MK02 Southwest Finland",14394791,10886484,8325884,147966,2543809,367736,1854141
"2010","MK04 Satakunta",6284053,6215131,5412498,133024,1901196,135870,1615749
"2010","MK05 Kanta-Haeme",5266243,3168190,4019722,66451,1124856,177465,669375
"2010","MK06 Pirkanmaa",17422354,8772034,7795694,69336,2669680,530832,1412194
"2010","MK07 Paeijaet-Haeme",9104848,3447456,3422311,18583,1298834,147482,515189
"2010","MK08 Kymenlaakso",4782839,5061863,3471871,64918,988111,106082,1107744
"2010","MK09 South Karelia",5101630,2122082,2230510,51130,1039006,80518,562564
"2010","MK10 South Savo",3904005,2526050,3166070,4261,1972947,158016,448786
"2010","MK11 North Savo",8887468,3167467,4690950,12902,2548712,185324,737984
"2010","MK12 North Karelia",4621816,2510955,4018775,2455,2013497,171235,577574
"2010","MK13 Central Finland",8257046,4616305,4747392,93804,2518522,237026,857223
"2010","MK14 South Ostrobothnia",3989053,5143874,4276161,3745,3094222,189245,746276
"2010","MK15 Ostrobothnia",4443301,4601983,3098129,94508,1498037,286258,923641
"2010","MK16 Central Ostrobothnia",1787246,1543725,1414289,3052,612487,99230,350552
"2010","MK17 North Ostrobothnia",12979543,4941286,7775076,36524,3235564,341875,1258627
"2010","MK18 Kainuu",2910674,980105,1526960,1291,1048848,76195,229578
"2010","MK19 Lapland",4731660,3416582,4791650,8016,1950468,146518,806918
"2010","MK21 Aaland",509744,882033,574087,2428,189182,123790,137059
"2011","MK01 Uusimaa",72948569,15753293,20624178,318763,2020710,1344030,3518792
"2011","MK02 Southwest Finland",14726270,10804827,8497242,145284,2550992,472570,1910472
"2011","MK04 Satakunta",6357658,6214158,5465208,132591,1907226,158806,1655509
"2011","MK05 Kanta-Haeme",5414092,3167561,4084381,66094,1121635,215532,690221
"2011","MK06 Pirkanmaa",17747272,8804798,7958073,68165,2679394,619458,1518133
"2011","MK07 Paeijaet-Haeme",9341997,3427593,3472149,18275,1314889,172932,553224
"2011","MK08 Kymenlaakso",5024030,5059198,3491950,65229,979590,125059,1128695
"2011","MK09 South Karelia",5225691,2129488,2261357,50918,1036389,101643,569790
"2011","MK10 South Savo",4042998,2507460,3198874,4261,1972067,183310,488105
"2011","MK11 North Savo",9130631,3166725,4750536,13245,2550261,213657,831871
"2011","MK12 North Karelia",4686474,2510255,4078076,2455,2021248,194550,625476
"2011","MK13 Central Finland",8446336,4633532,4828375,94034,2516259,291438,876592
"2011","MK14 South Ostrobothnia",4215624,5121851,4324259,4208,3114991,227520,792336
"2011","MK15 Ostrobothnia",4589356,4585936,3151722,94222,1500637,373110,934748
"2011","MK16 Central Ostrobothnia",1858641,1524008,1422303,3052,621126,128085,354144
"2011","MK17 North Ostrobothnia",13343855,4893284,7890225,36672,3246644,409903,1294879
"2011","MK18 Kainuu",2982383,936833,1518559,1291,1050714,96827,232403
"2011","MK19 Lapland",5082884,3409384,4895487,8198,1927274,174059,839405
"2011","MK21 Aaland",549199,882295,585054,2428,190139,141540,146767
"2012","MK01 Uusimaa",74353888,15695496,20940697,317887,2053846,1638488,3577576
"2012","MK02 Southwest Finland",15062026,10773872,8647885,144589,2582662,602269,1906988
"2012","MK04 Satakunta",6475086,6255035,5655245,132507,1920200,197525,1675424
"2012","MK05 Kanta-Haeme",5470535,3201070,4144654,65731,1126451,247171,699183
