"Year","Region","Energy Use In Tj"
"2009","MK01 Uusimaa",91481
"2009","MK02 Varsinais-Suomi",20417
"2009","MK05 Kanta-Haeme",7093
"2009","MK07 Paeijaet-Haeme",8986
"2009","MK08 Kymenlaakso",38239
"2009","MK09 South Karelia",64437
"2009","MK04 Satakunta",36774
"2009","MK06 Pirkanmaa",27331
"2009","MK13 Central Finland",31575
"2009","MK14 South Ostrobothnia",6625
"2009","MK15 Ostrobothnia",20655
"2009","MK10 South-Savo",3795
"2009","MK11 Pohjois-Savo",21727
"2009","MK12 North Karelia",10898
"2009","MK16 Central Ostrobothnia",8213
"2009","MK17 North Ostrobothnia",62200
"2009","MK18 Kainuu",2017
"2009","MK19 Lapland",42256
"2009","MK21 Aaland",198
"2010","MK01 Uusimaa",89889
"2010","MK02 Varsinais-Suomi",22345
"2010","MK05 Kanta-Haeme",6340
"2010","MK07 Paeijaet-Haeme",10790
"2010","MK08 Kymenlaakso",50567
"2010","MK09 South Karelia",70993
"2010","MK04 Satakunta",42244
"2010","MK06 Pirkanmaa",29000
"2010","MK13 Central Finland",33361
"2010","MK14 South Ostrobothnia",6084
"2010","MK15 Ostrobothnia",21519
"2010","MK10 South-Savo",4640
"2010","MK11 Pohjois-Savo",20885
"2010","MK12 North Karelia",24738
"2010","MK16 Central Ostrobothnia",8302
"2010","MK17 North Ostrobothnia",72952
"2010","MK18 Kainuu",3137
"2010","MK19 Lapland",52368
"2010","MK21 Aaland",226
"2011","MK01 Uusimaa",88631
"2011","MK02 Varsinais-Suomi",19671
"2011","MK05 Kanta-Haeme",6350
"2011","MK07 Paeijaet-Haeme",9249
"2011","MK08 Kymenlaakso",48130
"2011","MK09 South Karelia",70565
"2011","MK04 Satakunta",43080
"2011","MK06 Pirkanmaa",26207
"2011","MK13 Central Finland",32292
"2011","MK14 South Ostrobothnia",6621
"2011","MK15 Ostrobothnia",22642
"2011","MK10 South-Savo",4992
"2011","MK11 Pohjois-Savo",18579
"2011","MK12 North Karelia",26461
"2011","MK16 Central Ostrobothnia",8377
"2011","MK17 North Ostrobothnia",74375
"2011","MK18 Kainuu",3809
"2011","MK19 Lapland",51085
"2011","MK21 Aaland",344
"2012","MK01 Uusimaa",83747
