"Information","Year","MK01 Uusimaa","MK02 Southwest Finland","MK04 Satakunta","MK05 Kanta-Haeme","MK06 Pirkanmaa","MK07 Paeijaet-Haeme","MK08 Kymenlaakso","MK09 South Karelia","MK10 South Savo","MK11 North Savo","MK12 North Karelia","MK13 Central Finland","MK14 South Ostrobothnia","MK15 Ostrobothnia","MK16 Central Ostrobothnia","MK17 North Ostrobothnia","MK18 Kainuu","MK19 Lapland","MK21 Aaland"
"Population 31 Dec","2010",1532309,465183,225762,174555,491746,208777,175377,132899,146166,253337,169778,271083,198469,172981,68321,398335,78703,183488,28007
"Population 31 Dec","2011",1549058,467217,225302,175230,495242,209238,174827,132527,145353,253472,169733,271874,198671,174170,68484,401201,77984,183330,28354
"Population 31 Dec","2012",1566835,468936,224934,175472,499006,209503,174466,132355,144393,253524,169496,272723,198944,174777,68610,403920,77435,182844,28501
"Population 31 Dec","2013",1585473,470880,224556,175481,502575,209405,173864,132252,143638,253643,169112,272911,198831,175530,68677,406480,76782,182514,28666
"Population 31 Dec","2014",1603388,472725,223983,175350,505756,208959,172908,131764,142746,253585,168896,272986,198242,176314,68832,408536,76119,181748,28916
"Population 31 Dec","2015",1620261,474323,222957,174710,508448,208525,171778,131155,141621,253239,168329,273446,197371,176894,69032,410054,75324,180858,28983
"Population 31 Dec","2016",1638293,475543,221740,173781,511642,208574,170770,130506,140422,252815,167599,273910,196572,176729,69027,411150,74803,180207,29214
"Population 31 Dec","2017",1655624,477677,220398,172720,514333,208048,168691,129865,138822,251570,166441,273779,195583,176272,68780,411856,73959,179223,29489
"Population 31 Dec","2018",1671024,478582,218624,171364,517333,207394,166623,128756,136474,250414,165569,273283,194316,176193,68437,412161,73061,178522,29789
"Population 31 Dec","2019",1689725,479341,216752,170925,519872,206315,164456,127757,134314,249003,164465,272898,193207,175923,68158,412830,72306,177161,29884
"Population 31 Dec","2020",1702678,481403,215416,170577,522852,205771,162812,126921,132702,248265,163537,272617,192150,175816,67988,413830,71664,176665,30129
"Population 31 Dec","2021",1714741,483477,214281,170213,527478,205124,161391,126107,131688,248363,163281,272683,191762,176041,67915,415603,71255,176494,30344
"Population 31 Dec","2022",1733033,485567,212556,169537,532671,204528,159488,125353,130451,247689,162540,272437,190774,176323,67805,416543,70521,175795,30359
"Population 31 Dec","2023",1759537,490786,211740,169547,539309,204479,158658,125162,129914,248190,162321,273271,190539,177602,67736,418205,70164,176150,30541
