"port","year","tons_of_ship_cargo"
"Taalintehdas","2016",2380
"Taalintehdas","2017",1028
"Taalintehdas","2018",9024
"Taalintehdas","2019",19282
"Taalintehdas","2020",13353
"Taalintehdas","2021",23604
"Taalintehdas","2022",58110
"Taalintehdas","2023",32572
"Taalintehdas","2024",25103
"Eckeroe","2016",38122
"Eckeroe","2017",37520
"Eckeroe","2018",48362
"Eckeroe","2019",46664
"Eckeroe","2020",39475
"Eckeroe","2021",48228
"Eckeroe","2022",53165
"Eckeroe","2023",52946
"Eckeroe","2024",23487
"Eurajoki","2016",250128
"Eurajoki","2017",242260
"Eurajoki","2018",299182
"Eurajoki","2019",194523
"Eurajoki","2020",234606
"Eurajoki","2021",187942
"Eurajoki","2022",230163
"Eurajoki","2023",247451
"Eurajoki","2024",108322
"Faerjsund","2016",100208
"Faerjsund","2017",120204
"Faerjsund","2018",105551
"Faerjsund","2019",138294
"Faerjsund","2020",132922
"Faerjsund","2021",91979
"Faerjsund","2022",98199
"Faerjsund","2023",79253
"Faerjsund","2024",40199
"Foegloe","2016",.
"Foegloe","2017",.
"Foegloe","2018",.
"Foegloe","2019",.
"Foegloe","2020",.
"Foegloe","2021",.
"Foegloe","2022",.
"Foegloe","2023",.
"Foegloe","2024",45
"Foerby","2016",209443
"Foerby","2017",221791
"Foerby","2018",233650
"Foerby","2019",200285
"Foerby","2020",188401
"Foerby","2021",478357
"Foerby","2022",418516
"Foerby","2023",380183
"Foerby","2024",218531
"Godby","2016",2323
"Godby","2017",2909
"Godby","2018",.
"Godby","2019",.
"Godby","2020",.
"Godby","2021",3020
"Godby","2022",.
"Godby","2023",.
"Godby","2024",.
"Helsinki","2016",11393017
"Helsinki","2017",13985873
"Helsinki","2018",14570638
"Helsinki","2019",14219442
"Helsinki","2020",13247482
"Helsinki","2021",14230923
"Helsinki","2022",15052148
"Helsinki","2023",13390647
"Helsinki","2024",6932432
"Hanko","2016",4792993
"Hanko","2017",4499325
"Hanko","2018",4752927
"Hanko","2019",4864664
"Hanko","2020",4844263
"Hanko","2021",5502021
"Hanko","2022",5143828
"Hanko","2023",4419625
"Hanko","2024",2009233
"Imatra","2016",301664
"Imatra","2017",304304
"Imatra","2018",404127
"Imatra","2019",269704
"Imatra","2020",424977
"Imatra","2021",410232
"Imatra","2022",5749
"Imatra","2023",.
"Imatra","2024",.
"Inkoo","2016",1392434
"Inkoo","2017",1774989
"Inkoo","2018",1876709
"Inkoo","2019",2048923
"Inkoo","2020",2095648
"Inkoo","2021",2147168
"Inkoo","2022",1939214
"Inkoo","2023",2544768
"Inkoo","2024",1444802
"Isnaes","2016",.
"Isnaes","2017",.
