"Port","Year","Num Of Ship Passengers"
"Eckeroe","2016",970791
"Eckeroe","2017",932036
"Eckeroe","2018",972397
"Eckeroe","2019",963791
"Eckeroe","2020",400467
"Eckeroe","2021",489969
"Eckeroe","2022",786085
"Eckeroe","2023",1078726
"Eckeroe","2024",435809
"Helsinki","2016",12321484
"Helsinki","2017",12670465
"Helsinki","2018",12554744
"Helsinki","2019",12771751
"Helsinki","2020",4704208
"Helsinki","2021",3727318
"Helsinki","2022",8224928
"Helsinki","2023",9195817
"Helsinki","2024",4222956
"Hanko","2016",11
"Hanko","2017",1
"Hanko","2018",262
"Hanko","2019",575
"Hanko","2020",88
"Hanko","2021",1561
"Hanko","2022",7593
"Hanko","2023",13679
"Hanko","2024",58
"Kemi","2016",756
"Kemi","2017",290
"Kemi","2018",587
"Kemi","2019",.
"Kemi","2020",.
"Kemi","2021",2
"Kemi","2022",2415
"Kemi","2023",885
"Kemi","2024",.
"Haminakotka","2016",.
"Haminakotka","2017",14645
"Haminakotka","2018",1106
"Haminakotka","2019",1872
"Haminakotka","2020",.
"Haminakotka","2021",.
"Haminakotka","2022",9127
"Haminakotka","2023",13512
"Haminakotka","2024",486
"Laangnaes","2016",8917
"Laangnaes","2017",8882
"Laangnaes","2018",13474
"Laangnaes","2019",5332
"Laangnaes","2020",9692
"Laangnaes","2021",4034
"Laangnaes","2022",6871
"Laangnaes","2023",14397
"Laangnaes","2024",10002
"Lappeenranta","2016",16213
"Lappeenranta","2017",16968
"Lappeenranta","2018",16396
"Lappeenranta","2019",20085
"Lappeenranta","2020",.
"Lappeenranta","2021",.
"Lappeenranta","2022",.
"Lappeenranta","2023",.
"Lappeenranta","2024",.
"Maarianhamina","2016",2484582
"Maarianhamina","2017",2528719
"Maarianhamina","2018",2492099
"Maarianhamina","2019",2404700
"Maarianhamina","2020",552593
"Maarianhamina","2021",714741
"Maarianhamina","2022",1209875
"Maarianhamina","2023",741330
"Maarianhamina","2024",249414
"Naantali","2016",153063
"Naantali","2017",154244
"Naantali","2018",176151
"Naantali","2019",179846
"Naantali","2020",134999
"Naantali","2021",155634
"Naantali","2022",183324
"Naantali","2023",206628
"Naantali","2024",131699
"Oulu","2016",.
"Oulu","2017",2
"Oulu","2018",693
"Oulu","2019",2313
"Oulu","2020",.
"Oulu","2021",1
"Oulu","2022",.
"Oulu","2023",.
"Oulu","2024",.
"Pori","2016",403
"Pori","2017",.
"Pori","2018",.
"Pori","2019",939
"Pori","2020",.
"Pori","2021",.
"Pori","2022",.
"Pori","2023",.
"Pori","2024",.
"Raahe","2016",.
"Raahe","2017",.
"Raahe","2018",.
"Raahe","2019",.
"Raahe","2020",.
"Raahe","2021",.
"Raahe","2022",.
"Raahe","2023",.
"Raahe","2024",2
"Rauma","2016",.
"Rauma","2017",.
"Rauma","2018",693
"Rauma","2019",.
"Rauma","2020",.
"Rauma","2021",.
"Rauma","2022",.
"Rauma","2023",.
"Rauma","2024",.
"Turku","2016",2722148
"Turku","2017",2684173
"Turku","2018",2583145
"Turku","2019",2574203
"Turku","2020",829638
"Turku","2021",1010981
"Turku","2022",2071087
"Turku","2023",1933288
"Turku","2024",786649
"Tornio","2016",.
"Tornio","2017",4
"Tornio","2018",.
"Tornio","2019",1
"Tornio","2020",2
"Tornio","2021",.
"Tornio","2022",.
"Tornio","2023",.
"Tornio","2024",.
"Vaasa","2016",184191
"Vaasa","2017",200086
"Vaasa","2018",211410
"Vaasa","2019",209700
"Vaasa","2020",57640
"Vaasa","2021",107271
"Vaasa","2022",266809
"Vaasa","2023",277212
"Vaasa","2024",103110
