"port","year","num_of_ship_visits"
"Ahkiolahti","2019",8
"Ahkiolahti","2020",2
"Ahkiolahti","2021",11
"Ahkiolahti","2022",17
"Ahkiolahti","2023",13
"Ahkiolahti","2024",.
"Braendoe","2019",1
"Braendoe","2020",.
"Braendoe","2021",.
"Braendoe","2022",.
"Braendoe","2023",2
"Braendoe","2024",.
"Taalintehdas","2019",2
"Taalintehdas","2020",7
"Taalintehdas","2021",5
"Taalintehdas","2022",.
"Taalintehdas","2023",.
"Taalintehdas","2024",1
"Dragsfjaerd","2019",1
"Dragsfjaerd","2020",.
"Dragsfjaerd","2021",.
"Dragsfjaerd","2022",.
"Dragsfjaerd","2023",.
"Dragsfjaerd","2024",.
"Eckeroe","2019",.
"Eckeroe","2020",.
"Eckeroe","2021",19
"Eckeroe","2022",.
"Eckeroe","2023",.
"Eckeroe","2024",.
"Eurajoki","2019",11
"Eurajoki","2020",14
"Eurajoki","2021",1
"Eurajoki","2022",3
"Eurajoki","2023",2
"Eurajoki","2024",.
"Savonranta","2019",22
"Savonranta","2020",20
"Savonranta","2021",13
"Savonranta","2022",3
"Savonranta","2023",4
"Savonranta","2024",.
"Faerjsund","2019",17
"Faerjsund","2020",12
"Faerjsund","2021",13
"Faerjsund","2022",11
"Faerjsund","2023",19
"Faerjsund","2024",4
"Godby","2019",15
"Godby","2020",19
"Godby","2021",.
"Godby","2022",.
"Godby","2023",.
"Godby","2024",.
"Helsinki","2019",100
"Helsinki","2020",81
"Helsinki","2021",96
"Helsinki","2022",44
"Helsinki","2023",84
"Helsinki","2024",23
"Hanko","2019",599
"Hanko","2020",141
"Hanko","2021",141
"Hanko","2022",196
"Hanko","2023",161
"Hanko","2024",72
"Houtskaer","2019",6
"Houtskaer","2020",1
"Houtskaer","2021",5
"Houtskaer","2022",4
"Houtskaer","2023",6
"Houtskaer","2024",5
"Iisalmi","2019",6
"Iisalmi","2020",22
"Iisalmi","2021",33
"Iisalmi","2022",39
"Iisalmi","2023",34
"Iisalmi","2024",.
"Imatra","2019",84
"Imatra","2020",75
"Imatra","2021",99
"Imatra","2022",114
"Imatra","2023",160
"Imatra","2024",19
"Inkoo","2019",62
"Inkoo","2020",74
"Inkoo","2021",21
"Inkoo","2022",13
"Inkoo","2023",8
"Inkoo","2024",3
"Eastern Gulf of Finland","2019",884
"Eastern Gulf of Finland","2020",80
"Eastern Gulf of Finland","2021",.
"Eastern Gulf of Finland","2022",.
"Eastern Gulf of Finland","2023",.
"Eastern Gulf of Finland","2024",.
"Joensuu","2019",57
"Joensuu","2020",81
"Joensuu","2021",71
"Joensuu","2022",78
"Joensuu","2023",115
"Joensuu","2024",12
"Joutseno","2019",89
"Joutseno","2020",67
"Joutseno","2021",86
"Joutseno","2022",78
"Joutseno","2023",76
"Joutseno","2024",16
"Juuka","2019",6
"Juuka","2020",.
"Juuka","2021",.
"Juuka","2022",.
"Juuka","2023",.
"Juuka","2024",.
"Kaskinen","2019",4
"Kaskinen","2020",8
"Kaskinen","2021",12
"Kaskinen","2022",5
"Kaskinen","2023",5
"Kaskinen","2024",2
"Kemi","2019",53
"Kemi","2020",54
"Kemi","2021",39
"Kemi","2022",41
"Kemi","2023",55
"Kemi","2024",24
"Kemioe","2019",25
"Kemioe","2020",19
"Kemioe","2021",24
"Kemioe","2022",16
"Kemioe","2023",3
"Kemioe","2024",.
"Rahja","2019",.
"Rahja","2020",4
"Rahja","2021",1
"Rahja","2022",2
"Rahja","2023",6
"Rahja","2024",1
"Koekar","2019",2
"Koekar","2020",.
"Koekar","2021",.
"Koekar","2022",.
"Koekar","2023",.
"Koekar","2024",.
"Kantvik","2019",.
"Kantvik","2020",1
"Kantvik","2021",1
"Kantvik","2022",2
"Kantvik","2023",1
"Kantvik","2024",.
"Kokkola","2019",52
"Kokkola","2020",65
"Kokkola","2021",60
"Kokkola","2022",75
"Kokkola","2023",61
"Kokkola","2024",29
"Kristiinankaupunki","2019",2
"Kristiinankaupunki","2020",.
"Kristiinankaupunki","2021",.
"Kristiinankaupunki","2022",1
"Kristiinankaupunki","2023",1
"Kristiinankaupunki","2024",.
"Haminakotka","2019",650
"Haminakotka","2020",104
"Haminakotka","2021",124
"Haminakotka","2022",120
"Haminakotka","2023",81
"Haminakotka","2024",35
"Kitee","2019",1
"Kitee","2020",.
"Kitee","2021",.
"Kitee","2022",25
"Kitee","2023",37
"Kitee","2024",1
"Kumlinge","2019",1
"Kumlinge","2020",.
"Kumlinge","2021",.
"Kumlinge","2022",.
"Kumlinge","2023",1
"Kumlinge","2024",1
"Kuopio","2019",28
"Kuopio","2020",48
"Kuopio","2021",55
"Kuopio","2022",89
"Kuopio","2023",83
"Kuopio","2024",6
"Laangnaes","2019",246
"Laangnaes","2020",254
"Laangnaes","2021",251
"Laangnaes","2022",258
"Laangnaes","2023",273
"Laangnaes","2024",115
"Lappeenranta","2019",134
"Lappeenranta","2020",146
"Lappeenranta","2021",161
"Lappeenranta","2022",232
"Lappeenranta","2023",231
"Lappeenranta","2024",11
"Merikarvia","2019",.
"Merikarvia","2020",.
"Merikarvia","2021",5
"Merikarvia","2022",.
"Merikarvia","2023",2
"Merikarvia","2024",.
"Maarianhamina","2019",81
"Maarianhamina","2020",35
"Maarianhamina","2021",38
"Maarianhamina","2022",27
"Maarianhamina","2023",32
"Maarianhamina","2024",13
"Nauvo","2019",16
"Nauvo","2020",5
"Nauvo","2021",1
"Nauvo","2022",2
"Nauvo","2023",2
"Nauvo","2024",.
"Naantali","2019",413
"Naantali","2020",430
"Naantali","2021",373
"Naantali","2022",363
"Naantali","2023",374
"Naantali","2024",165
"Nurmes","2019",5
"Nurmes","2020",.
"Nurmes","2021",5
"Nurmes","2022",.
"Nurmes","2023",.
"Nurmes","2024",.
"Oulu","2019",93
"Oulu","2020",79
"Oulu","2021",84
"Oulu","2022",73
"Oulu","2023",64
"Oulu","2024",29
"Parainen","2019",77
"Parainen","2020",84
"Parainen","2021",88
"Parainen","2022",82
"Parainen","2023",70
"Parainen","2024",28
"Pori","2019",39
"Pori","2020",33
"Pori","2021",60
"Pori","2022",39
"Pori","2023",42
"Pori","2024",15
"Pietarsaari","2019",25
"Pietarsaari","2020",53
"Pietarsaari","2021",28
"Pietarsaari","2022",33
"Pietarsaari","2023",18
"Pietarsaari","2024",8
"Raahe","2019",16
"Raahe","2020",11
"Raahe","2021",33
"Raahe","2022",51
"Raahe","2023",39
"Raahe","2024",16
"Rauma","2019",44
"Rauma","2020",67
"Rauma","2021",36
"Rauma","2022",60
"Rauma","2023",83
"Rauma","2024",37
"Ristiina","2019",4
"Ristiina","2020",10
"Ristiina","2021",8
"Ristiina","2022",7
"Ristiina","2023",3
"Ristiina","2024",.
"Saimaa Others","2019",101
"Saimaa Others","2020",86
"Saimaa Others","2021",100
"Saimaa Others","2022",100
"Saimaa Others","2023",88
"Saimaa Others","2024",.
"Salo","2019",.
"Salo","2020",.
"Salo","2021",4
"Salo","2022",.
"Salo","2023",.
"Salo","2024",.
"Siilinjaervi","2019",21
"Siilinjaervi","2020",24
"Siilinjaervi","2021",29
"Siilinjaervi","2022",2
"Siilinjaervi","2023",.
"Siilinjaervi","2024",.
"Skogby","2019",.
"Skogby","2020",3
"Skogby","2021",4
"Skogby","2022",.
"Skogby","2023",.
"Skogby","2024",.
"Skoeldvik","2019",272
"Skoeldvik","2020",245
"Skoeldvik","2021",189
"Skoeldvik","2022",183
"Skoeldvik","2023",150
"Skoeldvik","2024",69
"Savonlinna","2019",21
"Savonlinna","2020",12
"Savonlinna","2021",19
"Savonlinna","2022",1
"Savonlinna","2023",.
"Savonlinna","2024",.
"Turku","2019",92
"Turku","2020",60
"Turku","2021",51
"Turku","2022",40
"Turku","2023",37
"Turku","2024",21
"Tolkkinen","2019",1
"Tolkkinen","2020",.
"Tolkkinen","2021",.
"Tolkkinen","2022",.
"Tolkkinen","2023",.
"Tolkkinen","2024",.
"Tornio","2019",2
"Tornio","2020",1
"Tornio","2021",6
"Tornio","2022",12
"Tornio","2023",3
"Tornio","2024",.
"Uusikaupunki","2019",51
"Uusikaupunki","2020",57
"Uusikaupunki","2021",31
"Uusikaupunki","2022",58
"Uusikaupunki","2023",50
"Uusikaupunki","2024",25
"Vaasa","2019",26
"Vaasa","2020",30
"Vaasa","2021",26
"Vaasa","2022",31
"Vaasa","2023",17
"Vaasa","2024",2
"Varkaus","2019",80
"Varkaus","2020",59
"Varkaus","2021",80
"Varkaus","2022",91
"Varkaus","2023",111
"Varkaus","2024",27
"Korppoo","2019",8
"Korppoo","2020",31
"Korppoo","2021",6
"Korppoo","2022",10
"Korppoo","2023",3
"Korppoo","2024",.
