"Year","Region","Unit","Wood Fuels In 1000m3"
"2010","1 Uusimaa","Volume (1000 m³)",794
"2010","2 Varsinais-Suomi","Volume (1000 m³)",429
"2010","4 Satakunta","Volume (1000 m³)",1188
"2010","5 Kanta-Haeme","Volume (1000 m³)",266
"2010","6 Pirkanmaa","Volume (1000 m³)",732
"2010","7 Paeijaet-Haeme","Volume (1000 m³)",399
"2010","8 Kymenlaakso","Volume (1000 m³)",1168
"2010","9 South Karelia","Volume (1000 m³)",1652
"2010","10 Etelae-Savo","Volume (1000 m³)",1027
"2010","11 Pohjois-Savo","Volume (1000 m³)",836
"2010","12 North Karelia","Volume (1000 m³)",1205
"2010","13 Central Finland","Volume (1000 m³)",1727
"2010","14 South Ostrobothnia","Volume (1000 m³)",363
"2010","15 Ostrobothnia","Volume (1000 m³)",1088
"2010","16 Central Ostrobothnia","Volume (1000 m³)",173
"2010","17 North Ostrobothnia","Volume (1000 m³)",1294
"2010","18 Kainuu","Volume (1000 m³)",495
"2010","19 Lapland","Volume (1000 m³)",1113
"2010","21 Aaland","Volume (1000 m³)",72
"2011","1 Uusimaa","Volume (1000 m³)",756
"2011","2 Varsinais-Suomi","Volume (1000 m³)",491
"2011","4 Satakunta","Volume (1000 m³)",1242
"2011","5 Kanta-Haeme","Volume (1000 m³)",323
"2011","6 Pirkanmaa","Volume (1000 m³)",807
"2011","7 Paeijaet-Haeme","Volume (1000 m³)",419
"2011","8 Kymenlaakso","Volume (1000 m³)",1149
"2011","9 South Karelia","Volume (1000 m³)",1615
"2011","10 Etelae-Savo","Volume (1000 m³)",1028
"2011","11 Pohjois-Savo","Volume (1000 m³)",892
"2011","12 North Karelia","Volume (1000 m³)",1102
"2011","13 Central Finland","Volume (1000 m³)",1784
"2011","14 South Ostrobothnia","Volume (1000 m³)",401
"2011","15 Ostrobothnia","Volume (1000 m³)",1289
"2011","16 Central Ostrobothnia","Volume (1000 m³)",197
"2011","17 North Ostrobothnia","Volume (1000 m³)",1366
"2011","18 Kainuu","Volume (1000 m³)",525
"2011","19 Lapland","Volume (1000 m³)",1316
"2011","21 Aaland","Volume (1000 m³)",72
"2012","1 Uusimaa","Volume (1000 m³)",871
"2012","2 Varsinais-Suomi","Volume (1000 m³)",501
"2012","4 Satakunta","Volume (1000 m³)",1455
"2012","5 Kanta-Haeme","Volume (1000 m³)",405
"2012","6 Pirkanmaa","Volume (1000 m³)",1053
"2012","7 Paeijaet-Haeme","Volume (1000 m³)",609
"2012","8 Kymenlaakso","Volume (1000 m³)",1006
"2012","9 South Karelia","Volume (1000 m³)",1678
"2012","10 Etelae-Savo","Volume (1000 m³)",1042
"2012","11 Pohjois-Savo","Volume (1000 m³)",1092
"2012","12 North Karelia","Volume (1000 m³)",1050
"2012","13 Central Finland","Volume (1000 m³)",1891
"2012","14 South Ostrobothnia","Volume (1000 m³)",511
"2012","15 Ostrobothnia","Volume (1000 m³)",1072
"2012","16 Central Ostrobothnia","Volume (1000 m³)",247
"2012","17 North Ostrobothnia","Volume (1000 m³)",1404
"2012","18 Kainuu","Volume (1000 m³)",517
"2012","19 Lapland","Volume (1000 m³)",1354
"2012","21 Aaland","Volume (1000 m³)",71
"2013","1 Uusimaa","Volume (1000 m³)",1137
"2013","2 Varsinais-Suomi","Volume (1000 m³)",499
"2013","4 Satakunta","Volume (1000 m³)",1335
"2013","5 Kanta-Haeme","Volume (1000 m³)",440
"2013","6 Pirkanmaa","Volume (1000 m³)",1182
"2013","7 Paeijaet-Haeme","Volume (1000 m³)",745
"2013","8 Kymenlaakso","Volume (1000 m³)",1047
"2013","9 South Karelia","Volume (1000 m³)",1706
"2013","10 Etelae-Savo","Volume (1000 m³)",1058
"2013","11 Pohjois-Savo","Volume (1000 m³)",1168
"2013","12 North Karelia","Volume (1000 m³)",1311
"2013","13 Central Finland","Volume (1000 m³)",2001
"2013","14 South Ostrobothnia","Volume (1000 m³)",486
"2013","15 Ostrobothnia","Volume (1000 m³)",1092
"2013","16 Central Ostrobothnia","Volume (1000 m³)",226
"2013","17 North Ostrobothnia","Volume (1000 m³)",1386
"2013","18 Kainuu","Volume (1000 m³)",522
"2013","19 Lapland","Volume (1000 m³)",1309
"2013","21 Aaland","Volume (1000 m³)",68
"2014","1 Uusimaa","Volume (1000 m³)",1204
"2014","2 Varsinais-Suomi","Volume (1000 m³)",433
"2014","4 Satakunta","Volume (1000 m³)",1311
"2014","5 Kanta-Haeme","Volume (1000 m³)",386
"2014","6 Pirkanmaa","Volume (1000 m³)",1132
"2014","7 Paeijaet-Haeme","Volume (1000 m³)",840
"2014","8 Kymenlaakso","Volume (1000 m³)",1130
"2014","9 South Karelia","Volume (1000 m³)",1731
"2014","10 Etelae-Savo","Volume (1000 m³)",1070
"2014","11 Pohjois-Savo","Volume (1000 m³)",1357
"2014","12 North Karelia","Volume (1000 m³)",1232
"2014","13 Central Finland","Volume (1000 m³)",1929
"2014","14 South Ostrobothnia","Volume (1000 m³)",505
"2014","15 Ostrobothnia","Volume (1000 m³)",1080
"2014","16 Central Ostrobothnia","Volume (1000 m³)",195
"2014","17 North Ostrobothnia","Volume (1000 m³)",1340
"2014","18 Kainuu","Volume (1000 m³)",504
"2014","19 Lapland","Volume (1000 m³)",1239
"2014","21 Aaland","Volume (1000 m³)",72
"2015","1 Uusimaa","Volume (1000 m³)",1209
"2015","2 Varsinais-Suomi","Volume (1000 m³)",490
"2015","4 Satakunta","Volume (1000 m³)",1208
"2015","5 Kanta-Haeme","Volume (1000 m³)",371
"2015","6 Pirkanmaa","Volume (1000 m³)",1243
"2015","7 Paeijaet-Haeme","Volume (1000 m³)",695
"2015","8 Kymenlaakso","Volume (1000 m³)",1061
"2015","9 South Karelia","Volume (1000 m³)",1784
"2015","10 Etelae-Savo","Volume (1000 m³)",1065
"2015","11 Pohjois-Savo","Volume (1000 m³)",1202
"2015","12 North Karelia","Volume (1000 m³)",1199
"2015","13 Central Finland","Volume (1000 m³)",1942
"2015","14 South Ostrobothnia","Volume (1000 m³)",467
"2015","15 Ostrobothnia","Volume (1000 m³)",1095
"2015","16 Central Ostrobothnia","Volume (1000 m³)",189
"2015","17 North Ostrobothnia","Volume (1000 m³)",1250
"2015","18 Kainuu","Volume (1000 m³)",479
"2015","19 Lapland","Volume (1000 m³)",1337
"2015","21 Aaland","Volume (1000 m³)",73
"2016","1 Uusimaa","Volume (1000 m³)",1245
"2016","2 Varsinais-Suomi","Volume (1000 m³)",621
"2016","4 Satakunta","Volume (1000 m³)",1362
"2016","5 Kanta-Haeme","Volume (1000 m³)",439
"2016","6 Pirkanmaa","Volume (1000 m³)",1367
"2016","7 Paeijaet-Haeme","Volume (1000 m³)",754
"2016","8 Kymenlaakso","Volume (1000 m³)",1240
"2016","9 South Karelia","Volume (1000 m³)",1837
"2016","10 Etelae-Savo","Volume (1000 m³)",1042
"2016","11 Pohjois-Savo","Volume (1000 m³)",1295
"2016","12 North Karelia","Volume (1000 m³)",1123
"2016","13 Central Finland","Volume (1000 m³)",1883
"2016","14 South Ostrobothnia","Volume (1000 m³)",535
"2016","15 Ostrobothnia","Volume (1000 m³)",1319
"2016","16 Central Ostrobothnia","Volume (1000 m³)",163
"2016","17 North Ostrobothnia","Volume (1000 m³)",1320
"2016","18 Kainuu","Volume (1000 m³)",428
"2016","19 Lapland","Volume (1000 m³)",1436
"2016","21 Aaland","Volume (1000 m³)",74
"2017","1 Uusimaa","Volume (1000 m³)",1283
"2017","2 Varsinais-Suomi","Volume (1000 m³)",835
"2017","4 Satakunta","Volume (1000 m³)",1187
"2017","5 Kanta-Haeme","Volume (1000 m³)",417
"2017","6 Pirkanmaa","Volume (1000 m³)",1403
"2017","7 Paeijaet-Haeme","Volume (1000 m³)",714
"2017","8 Kymenlaakso","Volume (1000 m³)",1234
"2017","9 South Karelia","Volume (1000 m³)",2066
"2017","10 Etelae-Savo","Volume (1000 m³)",1036
"2017","11 Pohjois-Savo","Volume (1000 m³)",1325
"2017","12 North Karelia","Volume (1000 m³)",1141
"2017","13 Central Finland","Volume (1000 m³)",2020
"2017","14 South Ostrobothnia","Volume (1000 m³)",496
"2017","15 Ostrobothnia","Volume (1000 m³)",1293
"2017","16 Central Ostrobothnia","Volume (1000 m³)",210
"2017","17 North Ostrobothnia","Volume (1000 m³)",1385
"2017","18 Kainuu","Volume (1000 m³)",416
"2017","19 Lapland","Volume (1000 m³)",1426
"2017","21 Aaland","Volume (1000 m³)",79
"2018","1 Uusimaa","Volume (1000 m³)",1256
"2018","2 Varsinais-Suomi","Volume (1000 m³)",1154
"2018","4 Satakunta","Volume (1000 m³)",1250
"2018","5 Kanta-Haeme","Volume (1000 m³)",416
"2018","6 Pirkanmaa","Volume (1000 m³)",1366
"2018","7 Paeijaet-Haeme","Volume (1000 m³)",609
"2018","8 Kymenlaakso","Volume (1000 m³)",1142
"2018","9 South Karelia","Volume (1000 m³)",1939
"2018","10 Etelae-Savo","Volume (1000 m³)",1028
"2018","11 Pohjois-Savo","Volume (1000 m³)",1350
"2018","12 North Karelia","Volume (1000 m³)",1220
"2018","13 Central Finland","Volume (1000 m³)",2116
"2018","14 South Ostrobothnia","Volume (1000 m³)",497
"2018","15 Ostrobothnia","Volume (1000 m³)",1324
"2018","16 Central Ostrobothnia","Volume (1000 m³)",217
"2018","17 North Ostrobothnia","Volume (1000 m³)",1309
"2018","18 Kainuu","Volume (1000 m³)",435
"2018","19 Lapland","Volume (1000 m³)",1367
"2018","21 Aaland","Volume (1000 m³)",74
"2019","1 Uusimaa","Volume (1000 m³)",1524
"2019","2 Varsinais-Suomi","Volume (1000 m³)",1428
"2019","4 Satakunta","Volume (1000 m³)",1153
"2019","5 Kanta-Haeme","Volume (1000 m³)",413
"2019","6 Pirkanmaa","Volume (1000 m³)",1419
