year,region,utilized_agric_area,cattle,pigs,poultry,sheep,goats
2011,Uusimaa,184.3,23073,34067,13150,7661,248
2011,Southwest Finland,295.8,36593,368638,3742539,14400,524
2011,Satakunta,144.9,32000,153390,2202634,6096,275
2011,Kanta-Haeme,105.5,22192,58761,119303,2586,0
2011,Pirkanmaa,162.9,50997,89245,926692,6843,1257
2011,Paeijaet-Haeme,83.7,23502,33978,15195,2199,24
2011,Kymenlaakso,85.8,17360,11549,35808,2829,24
2011,South Karelia,55.4,21946,20603,39092,2130,0
2011,South Savo,73.8,46758,13914,162595,5946,58
2011,North Savo,149.3,120285,33015,29542,3395,261
2011,North Karelia,85.7,57476,9067,32322,4909,126
2011,Central Finland,98.7,51727,14324,49949,8263,47
2011,South Ostrobothnia,247.8,107181,227245,2293633,6586,1384
2011,Ostrobothnia,139.0,47278,198036,529842,9341,349
2011,Central Ostrobothnia,56.8,55654,16490,236,1683,0
2011,North Ostrobothnia,227.6,134624,51817,13737,11100,108
2011,Kainuu,32.3,22767,915,10346,3366,15
2011,Lapland,45.1,34935,0,4747,17098,134
2011,Aaland,19.5,7689,0,14319,12660,21
2012,Uusimaa,183.0,22583,32721,11821,7646,297
2012,Southwest Finland,294.6,37022,353897,3609828,15745,609
2012,Satakunta,144.2,33009,152687,2736789,5317,204
2012,Kanta-Haeme,105.2,21775,53842,147194,3262,37
2012,Pirkanmaa,162.6,50838,85032,954334,7579,1318
2012,Paeijaet-Haeme,83.2,23434,31239,11764,2529,21
2012,Kymenlaakso,85.3,16930,8514,4876,2870,30
2012,South Karelia,55.2,21122,21590,22274,1689,0
2012,South Savo,73.5,46059,12453,122778,6001,54
2012,North Savo,148.6,122045,29708,34221,3802,287
2012,North Karelia,86.1,57178,9329,28204,5121,144
2012,Central Finland,96.7,51252,14009,68004,8136,47
2012,South Ostrobothnia,247.9,107511,221984,2522358,6322,1410
2012,Ostrobothnia,138.6,47574,187983,439574,9822,146
2012,Central Ostrobothnia,56.9,55849,16451,74,2083,0
2012,North Ostrobothnia,227.4,133430,57402,15499,10585,97
2012,Kainuu,32.2,22710,1418,9878,3064,19
2012,Lapland,45.1,34514,0,4895,15901,123
2012,Aaland,19.1,7902,0,16214,12531,32
2013,Uusimaa,180.6,22583,32537,12969,8074,265
2013,Southwest Finland,293.2,36667,360959,4109437,17281,362
2013,Satakunta,140.2,32237,145311,2794172,5482,68
2013,Kanta-Haeme,104.1,21961,52572,158557,3704,35
2013,Pirkanmaa,163.3,51736,97646,939078,8414,1476
2013,Paeijaet-Haeme,82.5,23281,31284,4012,2703,24
2013,Kymenlaakso,83.7,16179,9386,5249,3246,22
2013,South Karelia,53.1,20820,19922,24578,1902,0
2013,South Savo,71.7,45869,12314,173036,6661,47
2013,North Savo,146.4,121345,30590,33191,4326,283
2013,North Karelia,84.7,57095,9872,33488,4772,103
2013,Central Finland,93.5,50045,13334,52425,8004,30
2013,South Ostrobothnia,246.0,109582,225308,3133433,6425,1423
2013,Ostrobothnia,137.7,48347,193347,456849,10425,171
2013,Central Ostrobothnia,56.9,55475,14390,188,2647,0
2013,North Ostrobothnia,226.8,133362,58245,15670,11062,100
2013,Kainuu,31.2,23065,0,10006,2518,14
2013,Lapland,44.1,33966,0,4820,14774,27
2013,Aaland,19.0,8232,0,19397,13126,44
2014,Uusimaa,180.8,22696,30262,14814,8352,234
2014,Southwest Finland,293.6,37731,350476,4793277,18266,363
2014,Satakunta,140.5,31852,137583,2374503,5006,140
2014,Kanta-Haeme,103.9,22249,47736,148176,3690,33
2014,Pirkanmaa,164.1,52678,91579,993866,9176,1358
2014,Paeijaet-Haeme,82.5,23386,29778,11649,2632,25
2014,Kymenlaakso,83.6,15977,8501,5317,2978,24
2014,South Karelia,53.1,20309,16548,17721,2049,0
2014,South Savo,71.7,45808,11853,185862,7180,61
2014,North Savo,147.6,121774,26427,34855,4651,255
2014,North Karelia,85.0,55968,7014,30240,4504,77
2014,Central Finland,93.8,49935,10737,52849,7853,35
2014,South Ostrobothnia,246.9,110263,216652,3305116,6937,1395
2014,Ostrobothnia,138.1,48981,190566,552374,10975,181
2014,Central Ostrobothnia,57.2,55282,13240,131,3163,0
2014,North Ostrobothnia,228.3,133744,54720,19725,11112,80
2014,Kainuu,31.5,23547,899,10252,2663,0
2014,Lapland,44.3,33671,0,5075,14379,22
2014,Aaland,20.8,8468,0,21056,12322,60
2015,Uusimaa,181.6,23499,30674,13483,8494,163
2015,Southwest Finland,294.2,38437,361367,4656297,20896,321
2015,Satakunta,140.8,31469,134291,2449600,5571,133
2015,Kanta-Haeme,104.2,22245,48176,142030,4493,41
2015,Pirkanmaa,164.8,53232,87846,1001554,10868,1298
2015,Paeijaet-Haeme,82.2,22759,27251,13836,3908,64
2015,Kymenlaakso,83.7,15805,9052,9365,3433,20
2015,South Karelia,53.2,19923,16448,20088,2171,9
2015,South Savo,72.1,45005,10820,166721,7384,61
2015,North Savo,148.5,121374,27900,35751,5204,271
2015,North Karelia,85.9,55526,6988,29499,5193,70
2015,Central Finland,94.5,49430,10806,52614,8949,36
2015,South Ostrobothnia,247.9,112163,209226,3699504,8391,1720
2015,Ostrobothnia,138.1,49590,189992,583594,12331,153
2015,Central Ostrobothnia,57.3,54541,16014,229,4576,0
2015,North Ostrobothnia,229.9,134015,54394,16423,13525,87
2015,Kainuu,32.0,23662,1069,15559,3148,0
2015,Lapland,44.8,33250,0,5163,14906,36
2015,Aaland,17.3,8792,0,15622,11797,0
2016,Uusimaa,181.4,23350,30359,8916,8465,170
2016,Southwest Finland,294.3,38300,344685,4650891,21175,296
2016,Satakunta,140.9,32193,135128,2934042,5130,302
2016,Kanta-Haeme,104.0,22196,47156,170434,4570,35
2016,Pirkanmaa,165.1,52831,86408,1152570,11752,1322
2016,Paeijaet-Haeme,82.3,22444,29363,13742,4576,55
2016,Kymenlaakso,84.0,15827,8146,8202,3241,14
2016,South Karelia,52.9,19564,15928,26543,2379,16
2016,South Savo,72.4,44035,10946,144237,7726,32
2016,North Savo,149.0,119878,24783,30992,5325,306
2016,North Karelia,85.6,54440,7074,25893,4828,60
2016,Central Finland,94.0,48548,9592,48598,9129,31
2016,South Ostrobothnia,248.9,112642,215322,3619578,8441,1649
2016,Ostrobothnia,138.3,50156,198174,557625,12059,322
2016,Central Ostrobothnia,57.5,54631,15960,176,5003,0
2016,North Ostrobothnia,236.8,137021,54248,16522,14295,66
2016,Kainuu,25.7,19358,1218,15371,2765,0
2016,Lapland,44.8,32304,0,2664,13773,38
2016,Aaland,16.9,9303,0,17861,11864,61
2017,Uusimaa,181.1,22655,26380,9757,7790,1322
2017,Southwest Finland,293.8,38221,328446,5173930,21829,368
2017,Satakunta,140.9,31998,126903,2749292,5074,249
2017,Kanta-Haeme,104.0,21560,42276,154671,4734,38
2017,Pirkanmaa,165.1,50833,76156,796006,11166,1430
2017,Paeijaet-Haeme,81.9,21990,26075,13103,4512,29
2017,Kymenlaakso,84.0,15185,5726,8550,4076,0
2017,South Karelia,52.7,19129,11652,20836,2442,10
2017,South Savo,72.0,42446,8163,162010,7599,27
2017,North Savo,149.3,118159,21837,28774,5402,293
2017,North Karelia,85.1,51842,4406,27734,4480,59
2017,Central Finland,93.7,47085,8449,48433,9696,17
2017,South Ostrobothnia,248.4,112340,200577,3325763,7744,1032
2017,Ostrobothnia,138.3,50046,186969,560498,12505,177
2017,Central Ostrobothnia,57.7,53264,11362,36,4825,0
2017,North Ostrobothnia,237.4,135603,49423,17975,14138,56
2017,Kainuu,25.6,19144,0,14961,2831,12
2017,Lapland,44.5,32451,0,4855,13719,54
2017,Aaland,16.7,9227,0,18436,11364,0
2018,Uusimaa,181.2,21738,26355,13508,7409,1678
2018,Southwest Finland,293.4,39027,327947,5266686,22636,370
2018,Satakunta,140.6,32432,128969,3043922,5177,264
2018,Kanta-Haeme,103.9,21114,41895,177619,4861,248
2018,Pirkanmaa,165.3,49566,72312,1042310,11112,1294
2018,Paeijaet-Haeme,81.5,20941,25217,11292,4256,0
2018,Kymenlaakso,83.9,14790,6735,14829,4250,43
2018,South Karelia,52.6,18601,11153,19411,2612,7
2018,South Savo,72.1,41851,7402,199923,7286,18
2018,North Savo,148.8,116437,18764,54461,5919,393
2018,North Karelia,84.8,50174,5578,27383,4376,11
2018,Central Finland,93.8,46456,8069,85829,9236,13
2018,South Ostrobothnia,249.4,111904,191867,3558958,7993,889
2018,Ostrobothnia,138.3,50271,156099,563106,11720,59
2018,Central Ostrobothnia,57.7,52557,11771,67,5183,0
2018,North Ostrobothnia,238.0,135633,47688,20035,14084,50
