year,airport,num_of_passengers,freight_and_mail_total_tonnes,region
2019,Helsinki-Vantaa,21998427,221312,Uusimaa
2019,Enontekioe,28032,0,Lapland
2019,Ivalo,240745,4,Lapland
2019,Joensuu,127444,21,North Karelia
2019,Jyvaeskylae,66718,9,Central Finland
2019,Kajaani,87884,19,Kainuu
2019,Kemi-Tornio,64234,13,Lapland
2019,Kittilae,366188,8,Lapland
2019,Kokkola-Pietarsaari,56547,13,Ostrobothnia
2019,Kuopio,244744,25,North Savo
2019,Kuusamo,115091,2,North Ostrobothnia
2019,Lappeenranta,81160,0,South Karelia
2019,Mariehamn,51756,108,Aaland
2019,Oulu,1064917,253,North Ostrobothnia
2019,Pori,14424,0,Satakunta
2019,Rovaniemi,664710,78,Lapland
2019,Savonlinna,10489,0,South Savo
2019,Tampere-Pirkkala,222964,113,Pirkanmaa
2019,Turku,454905,3861,Southwest Finland
2019,Vaasa,305920,16,Ostrobothnia
2020,Helsinki-Vantaa,5084983,142980,Uusimaa
2020,Enontekioe,5266,0,Lapland
2020,Ivalo,115443,0,Lapland
2020,Joensuu,22089,4,North Karelia
2020,Jyvaeskylae,10595,1,Central Finland
2020,Kajaani,17428,5,Kainuu
2020,Kemi-Tornio,13792,5,Lapland
2020,Kittilae,207587,4,Lapland
2020,Kokkola-Pietarsaari,9214,2,Ostrobothnia
2020,Kuopio,57938,13,North Savo
2020,Kuusamo,71539,1,North Ostrobothnia
2020,Lappeenranta,21757,0,South Karelia
2020,Mariehamn,24060,45,Aaland
2020,Oulu,315096,200,North Ostrobothnia
2020,Pori,5313,0,Satakunta
2020,Rovaniemi,269626,56,Lapland
2020,Savonlinna,1202,0,South Savo
2020,Tampere-Pirkkala,35921,35,Pirkanmaa
2020,Turku,113492,3856,Southwest Finland
2020,Vaasa,60099,4,Ostrobothnia
2021,Helsinki-Vantaa,4295289,176429,Uusimaa
2021,Enontekioe,19797,0,Lapland
2021,Ivalo,111120,0,Lapland
2021,Joensuu,9343,1,North Karelia
2021,Jyvaeskylae,4521,0,Central Finland
2021,Kajaani,17888,2,Kainuu
2021,Kemi-Tornio,17016,2,Lapland
2021,Kittilae,184058,8,Lapland
2021,Kokkola-Pietarsaari,6484,1,Ostrobothnia
2021,Kuopio,36560,13,North Savo
2021,Kuusamo,75076,1,North Ostrobothnia
2021,Lappeenranta,13720,0,South Karelia
2021,Mariehamn,18305,19,Aaland
2021,Oulu,302859,236,North Ostrobothnia
2021,Pori,4711,0,Satakunta
2021,Rovaniemi,256532,63,Lapland
2021,Savonlinna,613,0,South Savo
2021,Tampere-Pirkkala,8026,1,Pirkanmaa
2021,Turku,51535,2570,Southwest Finland
2021,Vaasa,19408,2,Ostrobothnia
2022,Helsinki-Vantaa,12977702,171155,Uusimaa
2022,Enontekioe,29487,0,Lapland
2022,Ivalo,198809,1,Lapland
2022,Joensuu,19401,2,North Karelia
2022,Jyvaeskylae,10897,2,Central Finland
2022,Kajaani,26061,2,Kainuu
2022,Kemi-Tornio,22852,4,Lapland
2022,Kittilae,339223,8,Lapland
2022,Kokkola-Pietarsaari,17239,4,Ostrobothnia
2022,Kuopio,126586,11,North Savo
2022,Kuusamo,118130,1,North Ostrobothnia
2022,Lappeenranta,35796,0,South Karelia
2022,Mariehamn,26747,11,Aaland
2022,Oulu,636385,253,North Ostrobothnia
2022,Pori,11639,0,Satakunta
2022,Rovaniemi,564056,61,Lapland
2022,Savonlinna,3160,0,South Savo
2022,Tampere-Pirkkala,168701,179,Pirkanmaa
2022,Turku,133522,1044,Southwest Finland
2022,Vaasa,114027,5,Ostrobothnia
2023,Helsinki-Vantaa,15411792,172577,Uusimaa
2023,Enontekioe,32350,0,Lapland
2023,Ivalo,221525,1,Lapland
2023,Joensuu,40941,2,North Karelia
2023,Jyvaeskylae,23476,1,Central Finland
2023,Kajaani,41125,2,Kainuu
2023,Kemi-Tornio,37694,3,Lapland
2023,Kittilae,376614,6,Lapland
2023,Kokkola-Pietarsaari,29469,3,Ostrobothnia
2023,Kuopio,147525,8,North Savo
2023,Kuusamo,121479,1,North Ostrobothnia
2023,Lappeenranta,33355,0,South Karelia
2023,Mariehamn,37636,13,Aaland
2023,Oulu,556589,230,North Ostrobothnia
2023,Pori,12089,0,Satakunta
2023,Rovaniemi,738003,65,Lapland
2023,Savonlinna,3041,0,South Savo
2023,Tampere-Pirkkala,213475,149,Pirkanmaa
2023,Turku,233659,2553,Southwest Finland
2023,Vaasa,154658,4,Ostrobothnia
