year,region,energy_use_in_tj,oil_gas_floor_area_m2,coal_coke_floor_area_m2,wood_peat_floor_area_m2,other_floor_area_m2,wood_fuels_in_1000m3,population
2010,Uusimaa,89889,15867179,325759,2013425,3396580,794,1532309
2010,Southwest Finland,22345,10886484,147966,2543809,1854141,429,465183
2010,Kanta-Haeme,6340,3168190,66451,1124856,669375,266,174555
2010,Paeijaet-Haeme,10790,3447456,18583,1298834,515189,399,208777
2010,Kymenlaakso,50567,5061863,64918,988111,1107744,1168,175377
2010,South Karelia,70993,2122082,51130,1039006,562564,1652,132899
2010,Satakunta,42244,6215131,133024,1901196,1615749,1188,225762
2010,Pirkanmaa,29000,8772034,69336,2669680,1412194,732,491746
2010,Central Finland,33361,4616305,93804,2518522,857223,1727,271083
2010,South Ostrobothnia,6084,5143874,3745,3094222,746276,363,198469
2010,Ostrobothnia,21519,4601983,94508,1498037,923641,1088,172981
2010,South Savo,4640,2526050,4261,1972947,448786,1027,146166
2010,North Savo,20885,3167467,12902,2548712,737984,836,253337
2010,North Karelia,24738,2510955,2455,2013497,577574,1205,169778
2010,Central Ostrobothnia,8302,1543725,3052,612487,350552,173,68321
2010,North Ostrobothnia,72952,4941286,36524,3235564,1258627,1294,398335
2010,Kainuu,3137,980105,1291,1048848,229578,495,78703
2010,Lapland,52368,3416582,8016,1950468,806918,1113,183488
2010,Aaland,226,882033,2428,189182,137059,72,28007
2011,Uusimaa,88631,15753293,318763,2020710,3518792,756,1549058
2011,Southwest Finland,19671,10804827,145284,2550992,1910472,491,467217
2011,Kanta-Haeme,6350,3167561,66094,1121635,690221,323,175230
2011,Paeijaet-Haeme,9249,3427593,18275,1314889,553224,419,209238
2011,Kymenlaakso,48130,5059198,65229,979590,1128695,1149,174827
2011,South Karelia,70565,2129488,50918,1036389,569790,1615,132527
2011,Satakunta,43080,6214158,132591,1907226,1655509,1242,225302
2011,Pirkanmaa,26207,8804798,68165,2679394,1518133,807,495242
2011,Central Finland,32292,4633532,94034,2516259,876592,1784,271874
2011,South Ostrobothnia,6621,5121851,4208,3114991,792336,401,198671
2011,Ostrobothnia,22642,4585936,94222,1500637,934748,1289,174170
2011,South Savo,4992,2507460,4261,1972067,488105,1028,145353
2011,North Savo,18579,3166725,13245,2550261,831871,892,253472
2011,North Karelia,26461,2510255,2455,2021248,625476,1102,169733
2011,Central Ostrobothnia,8377,1524008,3052,621126,354144,197,68484
2011,North Ostrobothnia,74375,4893284,36672,3246644,1294879,1366,401201
2011,Kainuu,3809,936833,1291,1050714,232403,525,77984
2011,Lapland,51085,3409384,8198,1927274,839405,1316,183330
2011,Aaland,344,882295,2428,190139,146767,72,28354
2012,Uusimaa,83747,15695496,317887,2053846,3577576,871,1566835
