Huvudsektor,Undersektor,Län,Kommun,CO2 1990,CO2 2000,CO2 2005,CO2 2010,CO2 2015,CO2 2016,CO2 2017,CO2 2018,CO2 2019,CO2 2020,CO2 2021,CO2 2022
Alla,Alla,Alla,Alla,57880523.5032156,55295155.065413,53976630.1599316,53237749.8187255,43582547.9719893,43569386.3451471,42445002.6590509,42066348.6708739,40846733.1773693,36531545.328232,38406066.9868142,36028462.9874379
Alla,Alla,Blekinge län,Alla,728338.881110062,715178.496188419,671386.958517216,661696.349024406,394286.593127721,367231.21587197,359671.058794616,382361.295062552,344471.389770174,315431.425800558,393076.235664153,450480.285463034
Alla,Alla,Blekinge län,Karlshamn,219533.954341693,239109.966752169,256662.297008945,300927.333881403,110191.425099943,101834.665215269,87293.6565052719,114018.738898269,85070.1244656393,86642.9083592044,159242.014531849,238380.165318574
Alla,Alla,Blekinge län,Karlskrona,220804.493815762,205047.840380535,183051.798118611,155210.554277655,119517.89579556,111057.562551968,118249.331001786,118622.691551487,112209.9865917,101944.053111386,103064.455973639,93768.5241450537
Alla,Alla,Blekinge län,Olofström,71882.8111310834,65135.3394118319,53593.2557253663,39084.8508725795,33754.0133198864,33542.0073852984,33113.0985660477,31234.5950727529,31670.8809573258,27452.0320122402,28896.6434769296,25011.2026182622
Alla,Alla,Blekinge län,Ronneby,130128.833155281,130575.478282926,111528.450219225,106259.352289594,81391.6550731953,76165.6298647142,76113.2487629304,72953.0464348681,68672.7921532355,62140.6731423167,62824.6719214259,56237.0505898317
Alla,Alla,Blekinge län,Sölvesborg,85988.8171198229,75309.8729018035,66551.137867908,60214.2307956253,49431.5941361565,44631.3280309271,44901.7283991361,45532.2274677537,46847.6023162011,37251.7539294653,39048.458413715,37083.3251069415
Alla,Alla,Dalarnas län,Alla,2029331.00584424,2070988.344354,2110259.62417001,1722287.53262208,1487058.13744646,1487318.82401643,1436678.7767034,1363097.56351443,1343187.20542792,1257229.58915483,1298363.20194884,1223972.3503756
Alla,Alla,Dalarnas län,Avesta,287771.920287014,323388.42427775,309681.169850713,215640.575320831,212245.370951785,215551.275361268,226305.678271136,219541.906231391,221917.761436154,202195.208685071,208839.740594919,198875.905837601
Alla,Alla,Dalarnas län,Borlänge,499382.354480398,562794.945560843,587897.865697179,493063.293402114,427103.123769295,419961.514842945,405276.871091668,413854.379960999,384325.630457086,357679.966401399,377806.501450919,362175.590930526
Alla,Alla,Dalarnas län,Falun,184788.426760607,208858.318118119,224609.747616451,149009.490565138,124688.477665302,123098.143027123,107216.76187752,102597.745102833,100051.309329191,92223.8464974982,94028.2909090551,85224.8102272564
Alla,Alla,Dalarnas län,Gagnef,47001.0295614146,44933.2589578536,39325.9663301974,36899.0080617623,30639.8336026305,29132.3462960509,27968.5395898317,24971.5976050101,25534.6663471318,23858.931197782,23490.1195820458,20908.2433604042
Alla,Alla,Dalarnas län,Hedemora,84806.3456956828,76656.0520085833,70395.1901428243,70576.8348280418,54738.1957322204,53904.7317993799,56575.6470598729,54939.5439431926,59738.7945575274,60152.4807495642,58679.1117351193,55544.1661296233
Alla,Alla,Dalarnas län,Leksand,75044.6972051825,69907.1891815114,60672.2367288326,52830.2100940546,43574.047852112,41299.2233354589,37828.8903257245,36543.4326584082,35806.1293838602,33216.3792647667,35039.5796825258,30488.3546675536
Alla,Alla,Dalarnas län,Ludvika,117146.039544492,101369.405557149,128548.974203584,84606.1422493085,70519.8369517605,68762.3013405482,65252.4368452949,59823.6991754049,58846.4772065441,45035.4140339616,45157.9856673766,40647.038889645
Alla,Alla,Dalarnas län,Malung-Sälen,71756.4940982595,67644.4896893489,69018.0703644564,59536.5643280343,50853.9974034688,50539.3900402807,43883.3947651012,39509.3132507022,39972.1164814819,38636.0091907016,39445.9756947108,35084.790975275
Alla,Alla,Dalarnas län,Mora,109962.2124064,102835.660933272,92715.1238481332,84664.129114993,71037.4817547136,70213.2856248354,68001.8833538957,61600.8510987585,62541.9617305575,59097.7592485009,58325.9953631376,54529.8871451421
Alla,Alla,Dalarnas län,Orsa,32508.589925988,30320.2743058396,29298.2484766742,26117.4886033678,22688.0578593009,21906.1949552019,19999.2314047065,19570.5608933636,19897.1469339035,18382.4769996964,18401.0826472021,16646.8354088388
