"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,2,32,54,77,5,280,178,1659
2000,8,27,43,55,5,282,191,1760
2005,11,22,39,33,4,276,205,1780
2010,11,15,45,28,5,271,214,1690
2015,9,11,38,16,2,270,205,1936
2016,10,10,38,16,2,270,205,1867
2017,10,10,37,15,2,277,220,1754
2018,9,10,35,13,6,266,237,1856
2019,8,10,35,15,3,259,240,1680
2020,7,10,36,14,2,253,186,1589
2021,6,8,36,14,8,246,138,1557
