"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,6,106,109,148,118,137,472,27
2000,20,91,105,105,35,141,488,28
2005,26,75,95,56,42,132,521,19
2010,26,52,118,28,37,122,424,20
2015,21,34,110,17,27,119,371,18
2016,22,32,111,16,24,119,354,18
2017,21,30,92,16,25,119,335,15
2018,20,28,96,12,30,117,227,15
2019,18,25,104,12,18,115,227,14
2020,15,23,101,11,9,114,209,12
2021,14,20,97,11,10,115,210,12
