"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,15,226,296,256,1598,165,766,1821
2000,41,193,317,175,1783,148,796,1990
2005,51,157,315,86,2442,144,850,2043
2010,51,110,329,36,2238,134,710,2326
2015,42,73,316,21,1697,128,648,1666
2016,42,68,294,19,2005,126,629,2369
2017,42,64,282,19,2332,126,644,2227
2018,38,60,287,16,2283,125,603,1973
2019,36,53,319,14,1624,124,604,2651
2020,29,47,322,13,2028,124,559,2097
2021,26,41,335,14,2018,122,572,2131
