"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,54,584,506,1093,876,1272,2290,1854
2000,162,505,416,775,706,1191,2393,1667
2005,204,419,419,424,760,1112,2567,1154
2010,206,297,338,330,1582,1078,2471,1129
2015,216,204,350,184,751,1091,2208,934
2016,218,194,328,177,693,1099,2114,958
2017,218,184,330,158,585,1129,2075,869
2018,203,166,324,149,556,1066,1984,906
2019,192,149,347,165,524,1105,1961,855
2020,156,145,359,162,450,1116,1791,843
2021,145,129,365,158,458,1086,1803,883
