"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,13,59,104,305,487,355,714,143
2000,42,52,98,211,501,325,743,159
2005,53,44,101,108,521,285,806,146
2010,54,33,121,53,604,286,825,109
2015,59,23,107,29,334,282,754,73
2016,59,23,104,28,371,278,726,70
2017,60,21,108,27,303,282,715,58
2018,56,21,99,23,410,270,699,60
2019,53,19,104,21,304,275,688,57
2020,43,17,110,20,186,285,610,51
2021,41,17,116,20,196,274,614,49
