"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,15,158,113,505,107,211,638,498
2000,43,134,108,356,30,207,668,701
2005,54,109,112,174,54,194,716,566
2010,55,87,138,75,101,186,698,309
2015,46,55,112,41,63,184,607,210
2016,47,51,106,37,75,188,586,202
2017,46,46,108,38,70,192,574,212
2018,43,44,104,31,70,188,545,223
2019,40,40,111,29,69,192,540,212
2020,32,35,110,27,65,187,503,190
2021,30,34,119,27,77,184,507,195
