"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,13,151,98,198,618,183,517,642
2000,38,132,87,132,539,173,542,633
2005,47,111,82,68,586,151,582,671
2010,48,75,93,33,668,142,570,546
2015,44,52,79,18,246,148,490,300
2016,45,50,73,17,257,145,470,334
2017,44,44,75,17,267,151,456,305
2018,41,42,70,15,283,143,460,267
2019,39,37,79,13,250,147,457,259
2020,31,33,81,12,174,156,419,228
2021,29,29,83,13,231,151,421,246
