"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,15,221,99,323,378,241,600,407
2000,42,196,94,223,281,235,631,281
2005,52,222,87,111,301,212,679,222
2010,53,189,112,50,300,202,695,160
2015,49,179,103,28,80,204,609,159
2016,49,180,95,26,148,204,580,167
2017,49,186,91,26,109,205,555,162
2018,46,179,86,22,125,201,545,151
2019,43,166,93,20,113,202,534,150
2020,35,156,93,18,73,208,486,135
2021,32,167,98,19,123,202,488,150
