"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,20,78,164,398,653,509,899,328
2000,61,68,140,271,376,505,943,414
2005,77,57,135,141,482,493,1011,302
2010,78,44,140,69,698,495,1051,247
2015,74,31,141,39,480,499,928,165
2016,75,29,132,37,559,494,893,165
2017,75,28,132,36,546,506,822,158
2018,69,27,121,31,550,494,819,167
2019,65,26,135,28,538,472,810,140
2020,53,26,133,26,516,502,732,123
2021,49,24,140,27,568,491,736,128
