"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,14,187,114,339,62,517,547,320
2000,39,159,101,237,54,531,575,507
2005,51,128,102,123,69,543,615,502
2010,47,88,108,65,89,559,594,443
2015,40,57,93,36,40,569,535,348
2016,41,54,89,34,59,565,518,352
2017,40,52,92,33,59,575,496,340
2018,37,48,91,29,55,559,480,320
2019,35,43,93,28,61,554,473,140
2020,28,40,89,26,59,555,424,66
2021,26,35,100,26,73,542,424,61
