"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,10,154,76,228,127,249,507,139
2000,28,130,72,161,39,240,536,96
2005,34,105,196,84,52,241,580,52
2010,35,72,70,41,114,229,564,51
2015,32,46,63,23,48,223,477,41
2016,33,44,56,22,57,223,457,48
2017,33,41,58,22,50,222,458,38
2018,30,39,58,18,51,220,438,42
2019,28,35,64,17,46,220,426,38
2020,23,32,61,15,28,218,386,35
2021,21,29,63,16,30,219,389,33
