"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,13,92,176,216,171,218,564,412
2000,38,79,156,149,111,200,590,374
2005,48,65,152,79,153,195,634,331
2010,48,45,184,39,167,188,634,330
2015,44,31,165,24,135,181,577,349
2016,44,29,157,23,139,179,558,351
2017,44,28,153,23,129,178,596,343
2018,41,26,146,18,151,178,568,356
2019,38,24,155,17,127,174,563,339
2020,31,23,155,16,99,172,484,339
2021,29,20,154,16,112,170,489,356
