"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,71,542,681,1507,710,1332,2872,4366
2000,218,465,566,1050,556,1259,3013,4908
2005,326,382,551,548,596,1161,3216,4834
2010,289,271,560,321,1298,1123,3269,4886
2015,282,189,482,179,566,1140,2920,4577
2016,285,177,466,169,803,1138,2825,4664
2017,284,173,476,159,592,1167,2793,4703
2018,264,161,458,143,681,1147,2798,4961
2019,247,146,496,145,668,1172,2766,4351
2020,201,139,484,139,505,1175,2532,3795
2021,182,125,505,138,662,1158,2549,4637
