0,1,BirkalandHinku-beräkning utan utsläppskrediter,Total utsläppsmängd2021(kt CO2e),Total utsläppsmängd2022(kt CO2e),Förändring i utsläppen(%),Utsläpp per invånare2021(t CO2e),Utsläpp per invånare2022(t CO2e),Förändring i utsläppenper invånare(%)
1,2,Konsumtionsel,216.6,197.2,-9,0.4,0.4,-9.8
2,3,Elvärme,101.3,88.2,-13,0.2,0.2,-13.8
3,4,Fjärrvärme,415.9,375.1,-9.8,0.8,0.7,-10.7
4,5,Oljevärme,121.1,99.6,-17.8,0.2,0.2,-18.6
5,6,Övrig värme,85.8,80.1,-6.6,0.2,0.2,-7.5
6,7,Industri,67,92.2,37.5,0.1,0.2,36.1
7,8,Arbetsmaskiner,195.7,193.7,-1,0.4,0.4,-2
8,9,Vägtrafik,804.8,775.9,-3.6,1.5,1.5,-4.5
9,10,Järnvägstrafik,11.4,11,-3.7,0,0,-4.6
10,11,Sjötrafik,15.8,13.7,-13.5,0,0,-14.4
11,12,Lantbruk,347.8,341.7,-1.8,0.7,0.6,-2.7
12,13,Avfallshantering,159.6,150.6,-5.6,0.3,0.3,-6.5
13,14,F-gaser,77.5,71.8,-7.3,0.1,0.1,-8.2
14,15,Utsläppskrediter,0,0,,0,0,
15,16,Totalt,2620.4,2490.8,-4.9,5,4.7,-5.9
16,17,befolkning,527478,532671,,,,
