CENTRAL FINLANDHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,153.8,218.1,378.7,338.1,241.9,265.2,339.9,250.9,191.0,226.6,191.1,146.0,164.4,143.7,170.0,134.0,105.6,117.5,105.2
Electric heating,89.6,116.4,165.9,167.3,111.0,128.5,166.8,134.7,95.1,107.2,83.9,71.0,82.5,69.1,74.9,62.3,47.3,57.6,49.3
District heating,391.6,276.8,325.6,348.3,347.7,374.4,430.6,335.6,346.8,286.0,281.8,267.1,280.7,247.6,273.7,270.8,220.6,226.6,184.0
Oil heating,217.4,171.3,170.5,162.9,123.6,124.2,135.2,106.2,116.8,99.3,98.7,88.0,93.2,86.7,81.7,76.1,68.4,66.7,52.3
Other heating,87.0,59.1,58.2,61.4,59.7,60.3,66.4,59.8,63.9,59.7,59.3,56.3,60.0,58.5,52.0,52.0,51.6,55.3,51.2
Industry,84.5,93.2,91.2,78.9,64.0,53.7,58.6,51.5,50.6,50.1,41.3,44.0,37.1,38.6,31.8,27.4,27.4,22.2,33.9
Machinery,136.4,143.1,147.0,146.6,149.5,140.2,142.0,139.7,137.9,141.5,140.7,144.3,138.3,156.0,138.5,152.5,155.5,131.9,132.1
Road transport,526.1,582.1,588.6,606.1,583.0,554.8,570.7,558.7,554.6,557.4,508.7,501.2,556.1,531.9,536.1,509.1,482.2,456.6,436.9
Rail transport,13.5,10.9,13.9,12.2,11.0,9.9,11.4,10.4,9.3,9.4,8.0,6.1,5.5,5.0,6.9,6.6,5.4,5.7,5.7
Water transport,11.5,11.6,11.8,12.0,10.4,10.2,10.7,9.1,9.5,9.9,9.3,9.3,9.2,9.0,9.0,9.0,9.8,10.3,8.8
Agriculture,347.5,285.2,285.8,279.7,282.4,277.4,281.7,271.9,267.2,265.7,265.1,266.2,265.2,258.6,258.5,263.8,263.1,250.8,240.7
Waste treatment,177.0,106.1,100.9,102.6,105.4,101.7,94.7,96.7,92.7,83.7,79.1,86.3,78.6,73.4,81.1,77.6,75.8,68.5,65.3
F-gases,2.7,58.8,66.2,66.3,68.9,69.5,67.8,68.3,68.1,67.5,65.5,62.6,59.6,56.3,52.7,49.5,45.9,43.0,38.9
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,2238.7,2132.6,2404.2,2382.3,2158.6,2170.1,2376.5,2093.4,2003.5,1964.0,1832.5,1748.3,1830.3,1734.4,1766.8,1690.9,1558.8,1512.5,1404.5
per person. tCO2e,8.8,8.0,9.0,8.9,8.0,8.0,8.8,7.7,7.3,7.2,6.7,6.4,6.7,6.3,6.5,6.2,5.7,5.5,5.2
population,254539,266770,266905,267998,269108,270195,271083,271874,272723,272911,272986,273446,273910,273779,273283,272898,272617,272683,272437
