Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
CENTRAL OSTROBOTHNIAHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,42.8,56.4,98.0,87.0,67.5,72.8,94.2,72.3,52.9,62.8,52.6,40.7,45.0,38.8,47.0,35.0,27.2,29.2,25.0
Electric heating,26.4,30.1,42.8,43.3,32.1,36.3,49.1,36.6,26.8,31.0,24.0,20.3,23.8,20.1,22.0,18.2,14.2,17.7,16.4
District heating,64.7,74.5,83.4,91.2,84.8,70.7,81.4,64.8,64.9,45.7,44.3,50.6,64.5,56.2,60.4,65.0,50.0,46.4,50.0
Oil heating,71.7,63.1,62.4,60.2,45.4,45.1,50.7,37.8,41.8,35.5,35.2,31.8,33.1,32.1,30.2,28.6,25.4,25.1,21.1
Other heating,20.3,21.9,22.7,24.2,22.6,21.4,23.3,21.3,22.8,20.9,20.2,19.7,20.7,20.4,18.7,19.0,20.1,21.3,20.2
Industry,95.0,112.8,105.4,99.0,89.8,59.7,65.6,58.9,61.3,58.8,61.3,58.4,54.3,55.8,46.3,50.2,50.0,52.8,49.9
Machinery,39.7,41.7,43.8,45.5,44.3,44.2,49.2,44.4,41.4,44.2,40.8,44.9,41.8,41.7,40.6,40.8,39.7,37.2,36.7
Road transport,166.7,166.8,169.0,173.6,165.5,155.7,161.7,158.7,157.1,158.2,143.8,142.2,156.5,146.5,147.5,141.5,133.4,128.1,122.3
Rail transport,6.3,5.6,8.2,7.8,6.9,6.6,8.0,6.8,5.7,6.2,5.3,4.1,4.1,4.0,4.3,3.6,3.2,3.3,2.5
Water transport,9.4,8.4,9.7,10.3,11.7,10.6,11.3,9.9,12.8,10.2,8.8,10.0,8.8,8.6,8.8,8.2,8.1,7.7,5.1
Agriculture,290.0,322.1,327.6,326.4,326.9,324.5,330.4,329.3,333.6,340.0,345.8,346.5,348.8,342.9,343.4,345.0,338.6,326.8,317.0
Waste treatment,58.6,38.4,37.9,36.9,35.3,33.3,33.2,32.7,31.3,29.7,28.0,27.1,26.0,24.9,24.3,24.0,23.2,22.2,21.3
F-gases,0.7,17.2,19.4,19.7,20.1,19.7,19.1,19.6,20.0,19.5,19.5,18.1,16.7,15.2,14.4,13.5,12.7,11.6,10.2
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,892.4,958.9,1030.3,1025.0,953.0,900.5,977.1,893.2,872.3,862.7,829.8,814.6,844.1,807.3,807.8,792.5,745.8,729.6,697.7
per person. tCO2e,13.1,14.2,15.2,15.1,14.0,13.2,14.3,13.0,12.7,12.6,12.1,11.8,12.2,11.7,11.8,11.6,11.0,10.7,10.3
population,68214,67612,67632,67898,67991,68131,68321,68484,68610,68677,68832,69032,69027,68780,68437,68158,67988,67915,67805
