Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
KAINUUHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,56.7,68.6,119.2,106.9,79.4,89.2,110.1,86.8,62.0,71.6,61.0,48.3,52.1,46.5,51.0,38.2,32.6,37.5,32.3
Electric heating,35.2,36.5,52.6,51.9,38.4,43.1,56.0,43.4,32.0,36.0,27.5,23.1,25.9,22.7,23.8,19.8,16.9,20.4,16.3
District heating,160.5,89.8,98.0,78.9,89.1,94.8,128.8,88.1,110.8,81.0,81.4,71.5,81.9,74.4,68.8,84.9,64.7,59.5,90.6
Oil heating,47.6,42.8,43.4,41.1,31.5,31.6,33.6,26.2,28.6,24.0,23.8,21.4,22.0,21.3,20.2,20.0,18.0,18.5,15.7
Other heating,23.0,22.2,22.0,22.8,23.0,23.1,24.8,22.3,24.0,22.4,22.3,21.0,21.4,20.7,19.6,19.7,19.3,21.0,19.3
Industry,43.6,12.6,11.5,11.2,11.2,14.8,19.1,16.8,17.4,14.4,12.0,13.0,12.3,13.2,7.1,6.6,16.7,9.8,8.7
Machinery,61.6,66.3,71.1,70.2,70.7,76.3,75.7,92.5,101.7,89.4,78.9,71.5,76.8,92.9,107.3,114.9,111.7,102.7,106.5
Road transport,197.7,180.3,180.8,184.7,176.3,167.5,173.1,167.6,165.5,165.6,150.3,147.7,162.9,155.6,155.4,151.0,144.1,137.7,132.5
Rail transport,18.8,13.2,14.8,13.0,13.1,11.1,12.2,12.1,11.5,12.7,12.9,10.9,12.0,13.6,13.2,10.5,9.9,10.5,4.0
Water transport,4.3,3.7,3.8,3.8,3.4,3.3,3.4,3.0,3.1,3.1,3.0,3.0,2.9,2.8,2.8,2.8,3.0,3.0,2.7
Agriculture,163.1,116.9,118.8,116.0,117.2,115.9,117.1,115.5,114.6,116.3,118.6,119.3,121.1,120.9,119.5,121.7,120.5,117.3,113.8
Waste treatment,70.1,43.8,42.9,42.3,39.9,39.1,38.5,35.3,33.3,32.5,26.7,26.8,26.8,25.8,28.4,23.8,21.4,22.7,21.8
F-gases,1.0,19.7,23.0,22.6,23.0,22.6,22.2,21.2,21.6,21.5,20.7,19.9,19.2,17.7,16.5,14.6,13.7,12.7,11.2
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,883.2,716.3,801.7,765.4,715.9,732.4,814.7,730.9,726.1,690.8,639.0,597.4,637.4,628.1,633.5,628.5,592.6,573.1,575.4
per person. tCO2e,9.6,8.8,9.9,9.5,9.0,9.2,10.4,9.4,9.4,9.0,8.4,7.9,8.5,8.5,8.7,8.7,8.3,8.0,8.2
population,92459,81585,80738,80218,79690,79234,78703,77984,77435,76782,76119,75324,74803,73959,73061,72306,71664,71255,70521
