KANTA-HÄMEHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,107.8,139.9,243.6,211.3,171.0,181.0,227.3,173.0,130.3,156.1,128.4,96.7,106.9,94.0,107.1,85.2,68.3,78.0,69.2
Electric heating,71.7,80.0,113.1,115.2,86.2,103.8,132.9,101.8,75.4,88.8,68.5,56.5,65.3,55.0,61.3,49.4,37.4,46.6,40.3
District heating,135.2,166.8,167.2,199.7,175.8,172.1,200.8,175.4,174.7,138.0,145.7,130.4,136.8,136.7,141.4,134.8,89.1,70.5,65.9
Oil heating,132.2,103.8,101.7,96.9,74.1,77.5,85.2,65.4,71.8,62.4,62.7,56.6,61.2,59.6,57.1,52.7,46.6,48.6,41.4
Other heating,53.7,34.5,34.0,36.5,35.6,36.2,41.2,37.8,39.9,38.3,37.6,36.6,38.5,37.8,34.6,34.8,37.6,40.8,38.0
Industry,194.7,95.5,86.5,76.7,69.4,61.0,61.7,52.2,54.7,53.1,50.4,56.2,48.2,58.7,50.4,50.0,41.4,38.8,55.1
Machinery,92.6,95.7,96.1,97.0,98.5,91.9,91.3,84.5,95.4,90.9,90.5,84.1,83.0,86.6,84.5,84.1,86.5,77.5,74.1
Road transport,362.9,385.2,391.8,410.8,392.3,373.1,386.6,379.4,373.8,375.0,339.1,335.1,371.5,350.3,353.2,339.5,319.8,307.8,296.3
Rail transport,11.2,11.2,16.5,20.6,16.5,15.9,19.5,15.9,11.5,13.5,11.3,8.6,8.4,7.5,9.2,7.7,5.4,6.1,5.8
Water transport,4.0,4.0,4.1,4.2,3.6,3.6,3.8,3.2,3.3,3.5,3.3,3.3,3.2,3.2,3.2,3.2,3.5,3.6,3.1
Agriculture,243.4,198.0,198.5,197.6,200.6,192.5,192.6,187.7,184.7,189.0,188.7,185.9,191.8,187.0,184.3,190.5,191.4,182.6,180.5
Waste treatment,132.2,86.3,86.7,88.9,82.3,75.1,75.1,73.6,67.0,62.0,49.2,50.2,42.1,37.8,36.6,36.3,40.6,39.3,38.2
F-gases,1.7,38.1,42.6,44.0,45.2,44.7,45.0,44.2,43.8,43.3,40.9,39.9,36.9,34.9,32.6,31.6,29.2,27.3,25.0
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,1543.4,1439.0,1582.3,1599.4,1451.3,1428.4,1562.9,1394.1,1326.2,1313.8,1216.3,1140.1,1193.8,1149.1,1155.4,1099.8,996.8,967.5,933.0
per person. tCO2e,9.5,8.5,9.3,9.3,8.4,8.2,9.0,8.0,7.6,7.5,6.9,6.5,6.9,6.7,6.7,6.4,5.8,5.7,5.5
population,162248,168381,169952,171449,173041,173828,174555,175230,175472,175481,175350,174710,173781,172720,171364,170925,170577,170213,169537
