Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
KYMENLAAKSOHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,131.3,162.8,283.7,253.5,196.7,209.8,270.9,207.0,164.9,198.8,176.5,146.8,158.0,127.0,157.3,127.6,104.3,110.4,101.7
Electric heating,66.8,71.3,98.9,100.1,71.7,84.1,110.4,84.3,59.9,70.3,54.6,45.6,52.6,43.9,48.8,40.5,30.0,36.1,33.3
District heating,162.6,120.0,104.2,118.6,90.0,119.9,135.8,140.5,125.9,108.6,102.9,85.7,103.5,83.8,83.2,74.2,64.9,75.0,82.9
Oil heating,176.0,135.1,132.1,125.5,93.9,96.7,104.9,80.5,87.0,76.6,74.9,67.0,70.4,67.7,64.0,58.5,51.5,51.4,42.3
Other heating,116.6,124.5,126.1,124.1,123.6,126.3,137.3,121.4,118.9,115.7,105.0,98.2,102.2,102.3,91.5,93.4,84.3,101.8,80.7
Industry,158.2,88.4,86.5,92.3,82.0,70.0,84.2,74.6,70.8,72.3,62.5,71.9,68.4,67.0,60.3,60.7,57.5,65.0,76.7
Machinery,73.5,75.0,72.7,75.8,77.1,74.7,71.9,65.8,73.5,68.2,68.1,71.6,62.9,65.5,63.1,64.9,64.4,57.1,63.3
Road transport,379.5,402.0,406.3,419.6,399.1,374.5,386.9,373.9,365.3,364.5,330.8,323.7,348.2,329.5,333.2,318.6,296.0,282.9,272.5
Rail transport,19.5,15.9,21.4,19.7,17.9,16.2,18.9,17.6,15.1,16.0,14.2,10.9,11.1,10.9,11.8,11.6,9.8,10.1,9.9
Water transport,38.6,26.8,28.1,29.4,28.4,27.1,48.6,51.2,28.3,24.6,22.3,22.8,22.9,21.6,21.7,44.4,19.7,16.5,20.7
Agriculture,193.9,136.7,134.9,130.9,131.2,125.1,125.6,120.8,117.7,117.1,116.7,115.6,118.3,114.3,112.9,118.0,116.3,109.5,105.3
Waste treatment,179.8,117.1,116.1,111.5,106.9,103.7,106.5,104.6,95.6,85.9,80.2,78.1,77.4,73.5,73.2,69.6,69.5,70.1,66.5
F-gases,2.0,38.0,43.1,44.1,45.0,43.8,43.3,43.1,43.4,43.1,42.0,39.8,41.5,37.6,35.9,30.1,28.4,25.9,24.1
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,1698.5,1513.7,1654.2,1644.9,1463.6,1471.9,1645.2,1485.3,1366.2,1361.7,1250.7,1177.7,1237.3,1144.7,1156.9,1112.0,996.6,1011.8,980.0
per person. tCO2e,9.1,8.5,9.3,9.3,8.3,8.4,9.4,8.5,7.8,7.8,7.2,6.9,7.2,6.8,6.9,6.8,6.1,6.3,6.1
population,186030,177931,176995,176356,175661,175556,175377,174827,174466,173864,172908,171778,170770,168691,166623,164456,162812,161391,159488
