Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
NORTH KARELIAHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,108.1,126.1,219.3,195.9,146.4,159.5,204.5,157.7,113.0,135.2,111.4,84.7,93.7,79.7,91.2,73.2,56.9,62.9,54.7
Electric heating,80.1,82.9,118.9,119.4,86.5,100.7,131.9,109.7,75.0,85.7,65.8,55.9,63.1,53.0,58.3,48.1,36.1,45.2,36.3
District heating,211.9,137.7,158.4,194.0,170.7,144.1,156.8,152.2,142.4,109.6,114.3,114.4,140.2,131.1,127.0,117.4,102.0,109.7,80.8
Oil heating,121.6,94.8,95.8,91.1,67.6,68.4,72.5,58.9,64.0,54.4,54.8,49.8,51.1,48.3,42.9,40.2,36.0,37.1,30.8
Other heating,61.7,45.6,45.0,47.4,46.2,47.6,50.7,45.3,49.0,45.5,45.4,43.3,45.6,45.6,42.9,42.5,44.5,48.0,44.5
Industry,78.8,55.8,64.6,61.4,51.0,33.7,37.1,40.8,28.3,26.8,28.0,40.7,29.7,34.9,30.4,28.4,28.2,23.7,32.5
Machinery,120.5,123.6,125.3,121.8,123.8,110.2,120.2,112.3,121.1,126.5,124.0,124.0,117.6,123.2,131.6,123.0,122.6,108.4,112.7
Road transport,379.3,374.3,375.4,382.4,362.8,348.0,359.3,349.4,348.1,349.7,321.8,321.2,355.1,326.4,328.3,312.4,294.6,278.6,266.7
Rail transport,26.9,18.4,18.9,15.4,14.8,11.6,11.9,11.0,10.3,10.0,8.8,7.2,6.2,6.0,7.0,6.9,5.6,6.7,6.8
Water transport,10.1,9.7,9.8,10.1,8.7,8.6,8.9,7.8,8.4,8.7,8.0,8.2,8.0,7.6,7.6,7.6,8.1,8.3,7.1
Agriculture,408.3,320.7,316.7,314.2,316.2,312.5,317.1,306.2,302.9,305.9,304.2,304.1,303.8,293.3,291.6,290.8,286.4,273.2,263.0
Waste treatment,142.1,90.0,88.7,86.1,82.7,81.9,89.4,89.4,94.8,89.4,84.0,81.9,76.3,68.0,66.8,64.4,62.2,59.2,56.3
F-gases,2.0,42.4,47.2,48.2,49.4,48.8,48.0,47.1,46.6,45.1,44.5,41.9,38.1,36.2,33.5,32.9,30.8,28.4,25.5
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,1751.4,1522.1,1684.1,1687.3,1526.9,1475.3,1608.3,1487.9,1403.9,1392.5,1315.0,1277.2,1328.5,1253.4,1259.1,1187.8,1114.1,1089.3,1017.7
per person. tCO2e,9.6,8.8,9.8,9.9,9.0,8.7,9.5,8.8,8.3,8.2,7.8,7.6,7.9,7.5,7.6,7.2,6.8,6.7,6.3
population,182200,172633,171758,170896,170194,169937,169778,169733,169496,169112,168896,168329,167599,166441,165569,164465,163537,163281,162540
