NORTH OSTROBOTHNIAHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,222.5,326.3,565.8,505.9,383.7,423.5,543.0,397.4,291.5,342.0,287.2,220.2,244.6,216.0,246.3,195.3,153.0,174.7,155.8
Electric heating,150.6,190.2,276.4,273.7,198.3,217.7,285.6,220.9,160.5,186.6,142.3,120.8,134.3,117.6,128.7,111.8,87.0,100.2,87.1
District heating,463.5,522.2,590.2,561.2,523.7,464.6,593.4,528.4,546.2,452.3,459.7,445.6,449.9,434.2,435.7,469.2,403.3,340.3,259.6
Oil heating,240.8,198.2,201.1,192.6,149.9,148.1,158.9,125.3,139.2,118.6,117.1,106.6,112.1,110.0,102.4,100.7,88.8,85.7,69.1
Other heating,95.5,82.7,79.8,86.3,85.9,82.9,90.5,92.9,104.8,83.9,82.5,80.4,84.2,86.8,79.2,79.2,82.4,86.0,81.2
Industry,108.0,114.7,98.8,96.9,76.6,64.9,66.7,56.0,58.5,55.1,54.5,58.2,49.0,47.0,37.5,35.7,35.9,31.8,43.6
Machinery,222.3,241.5,243.3,251.3,250.0,239.4,238.9,233.0,236.8,252.5,239.8,237.6,232.5,242.9,236.4,247.9,245.3,254.5,230.0
Road transport,790.0,852.8,864.6,895.6,856.1,819.9,848.9,833.2,828.9,838.7,771.6,765.5,857.2,803.3,819.0,791.4,745.6,714.8,686.2
Rail transport,27.3,22.2,30.2,28.1,27.0,24.9,29.4,27.6,25.1,25.7,22.7,17.3,17.8,17.8,17.6,14.5,13.1,14.5,9.3
Water transport,47.0,39.0,40.8,40.4,38.8,37.2,36.6,38.5,39.9,40.0,38.4,37.7,36.6,37.1,37.6,38.2,37.1,37.7,28.6
Agriculture,975.0,936.5,959.2,953.8,969.1,969.0,984.9,972.5,970.6,990.5,1003.3,1002.1,1013.7,1008.1,1009.7,1024.5,1027.9,1012.3,988.6
Waste treatment,306.0,200.0,200.5,200.4,195.8,191.4,204.2,198.0,189.9,173.3,160.6,156.3,148.8,142.1,150.8,155.6,144.8,130.7,125.5
F-gases,3.8,86.1,98.7,100.9,97.7,104.6,102.5,101.1,102.0,100.8,99.8,93.6,90.0,84.5,80.6,76.8,71.8,66.9,60.3
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,3652.2,3812.5,4249.4,4187.0,3852.6,3788.1,4183.5,3824.8,3693.9,3659.9,3479.4,3341.8,3470.7,3347.5,3381.3,3340.7,3135.9,3050.1,2825.0
per person. tCO2e,10.4,9.9,11.0,10.7,9.8,9.6,10.5,9.5,9.1,9.0,8.5,8.1,8.4,8.1,8.2,8.1,7.6,7.3,6.8
population,350799,384808,387320,390038,392652,395510,398335,401201,403920,406480,408536,410054,411150,411856,412161,412830,413830,415603,416543
