Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
NORTH SAVOHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,171.3,207.4,358.8,321.1,248.4,268.2,340.9,257.2,189.4,226.2,189.0,146.3,165.8,144.1,164.4,129.3,103.5,110.4,99.6
Electric heating,95.8,104.0,149.4,149.3,109.6,125.1,163.8,128.3,91.2,103.4,78.5,66.0,73.1,62.1,69.7,56.9,43.3,52.1,44.9
District heating,387.4,393.7,451.2,429.3,399.2,405.0,481.5,453.3,387.5,326.3,259.2,246.5,253.1,224.6,243.0,222.6,199.3,196.4,172.5
Oil heating,155.5,121.5,124.0,116.7,89.7,89.6,96.2,76.7,84.0,71.6,71.9,65.6,69.3,65.5,62.4,58.1,51.7,52.0,43.0
Other heating,67.7,64.8,62.8,63.0,73.2,74.6,78.5,72.3,77.0,60.4,59.5,57.7,61.2,61.6,57.4,57.3,58.3,62.0,58.0
Industry,116.8,98.2,96.6,81.6,59.0,45.9,49.9,43.1,43.5,43.2,30.7,36.0,30.5,35.0,26.9,23.5,24.7,21.6,27.7
Machinery,162.8,171.5,205.8,205.0,210.5,192.2,188.1,171.4,178.9,190.1,187.0,196.4,179.4,180.3,179.6,173.8,190.0,172.9,169.2
Road transport,561.6,545.6,551.4,567.5,541.8,517.5,533.0,522.6,518.0,522.9,479.5,474.7,521.3,489.3,492.9,474.5,449.6,426.4,411.8
Rail transport,17.1,12.8,15.3,13.7,12.9,11.3,12.7,11.8,10.7,10.3,8.6,6.3,5.6,5.1,6.7,6.4,5.8,6.4,6.6
Water transport,16.6,17.0,16.8,17.3,15.1,14.9,15.3,13.7,14.7,15.4,14.3,14.5,14.0,13.8,13.7,13.8,13.8,13.9,12.4
Agriculture,624.4,574.0,582.3,582.3,594.6,595.7,612.8,598.5,596.4,603.6,609.9,610.9,617.9,609.3,611.1,614.6,614.4,588.1,570.3
Waste treatment,200.2,133.1,139.9,136.5,140.0,135.9,138.7,135.5,127.3,113.2,98.8,94.6,88.1,80.2,85.3,83.2,81.7,83.3,79.4
F-gases,2.9,58.6,66.0,67.1,69.4,67.8,65.4,63.4,64.1,64.5,62.6,59.7,52.8,48.5,46.3,45.7,42.8,39.9,36.0
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,2580.1,2502.1,2820.2,2750.4,2563.6,2543.7,2777.0,2547.8,2382.6,2351.2,2149.7,2075.0,2132.3,2019.5,2059.3,1959.7,1879.0,1825.4,1731.4
per person. tCO2e,9.7,9.8,11.1,10.8,10.1,10.0,11.0,10.1,9.4,9.3,8.5,8.2,8.4,8.0,8.2,7.9,7.6,7.3,7.0
population,265040,255683,255094,254367,253899,253605,253337,253472,253524,253643,253585,253239,252815,251570,250414,249003,248265,248363,247689
