PIRKANMAAHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,269.9,369.7,641.8,572.1,453.9,486.5,632.4,478.0,346.7,414.1,350.4,273.0,302.7,268.1,302.6,244.2,191.8,216.6,197.2
Electric heating,133.3,165.0,233.3,236.6,163.5,194.1,263.6,206.1,152.4,178.0,138.3,115.9,134.1,114.1,128.9,105.2,80.1,101.3,88.2
District heating,521.2,485.6,488.1,543.7,513.7,563.5,615.0,546.5,629.8,484.1,509.4,418.9,464.4,402.0,420.5,404.0,380.7,415.9,375.1
Oil heating,353.5,284.0,276.6,265.6,204.7,209.1,227.1,174.9,193.2,166.5,165.9,149.1,159.4,152.6,145.8,136.4,121.2,121.1,99.6
Other heating,139.9,89.0,90.7,93.6,87.5,90.5,96.1,84.0,91.8,87.1,86.0,82.0,87.3,85.4,78.8,78.2,79.0,85.8,80.1
Industry,200.3,192.8,187.9,181.8,146.2,130.8,142.9,120.3,123.5,127.6,107.0,114.7,92.6,105.4,85.4,76.1,74.2,67.0,92.2
Machinery,184.3,198.0,208.4,203.1,206.9,201.6,200.0,184.7,208.7,201.6,196.7,192.0,187.1,204.6,201.8,214.4,213.2,195.7,193.7
Road transport,930.9,987.3,1003.8,1029.9,984.6,941.5,976.2,959.6,954.2,963.7,888.0,878.9,970.6,914.5,925.7,893.0,839.8,804.8,775.9
Rail transport,28.6,26.6,37.1,33.3,27.7,25.6,30.4,25.1,19.4,21.7,18.2,13.8,13.4,12.3,14.6,13.0,9.9,11.4,11.0
Water transport,16.3,16.9,17.3,17.6,15.2,15.0,15.6,13.4,13.9,14.5,13.7,13.8,13.7,13.5,13.7,13.7,15.2,15.8,13.7
Agriculture,448.3,362.4,363.5,363.4,374.5,366.0,367.6,358.5,355.9,363.0,367.3,363.5,371.9,361.0,357.7,368.1,366.9,347.8,341.7
Waste treatment,366.8,220.5,252.0,219.5,238.6,219.3,228.3,208.0,226.1,232.8,218.2,209.5,194.1,187.0,171.2,179.6,167.3,159.6,150.6
F-gases,4.6,102.7,117.0,119.1,125.3,122.7,121.8,119.1,119.8,117.4,113.5,108.9,106.0,100.5,92.9,88.6,83.2,77.5,71.8
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,3598.1,3500.4,3917.4,3879.2,3542.2,3566.2,3916.9,3478.2,3435.4,3372.2,3172.8,2934.1,3097.5,2921.0,2939.5,2814.4,2622.5,2620.4,2490.8
per person. tCO2e,8.4,7.4,8.2,8.1,7.3,7.3,8.0,7.0,6.9,6.7,6.3,5.8,6.1,5.7,5.7,5.4,5.0,5.0,4.7
population,430651,471409,476221,480634,484638,488295,491746,495242,499006,502575,505756,508448,511642,514333,517333,519872,522852,527478,532671
