SATAKUNTAHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,148.2,166.7,293.0,260.1,199.4,217.6,276.7,215.3,158.4,187.6,163.4,128.4,142.3,123.4,142.1,111.9,88.3,99.3,87.7
Electric heating,89.0,94.7,131.3,134.4,99.4,114.8,152.7,123.2,88.0,101.6,80.7,68.5,78.3,64.8,72.8,59.1,44.9,55.4,48.8
District heating,266.1,250.6,235.4,236.8,264.4,339.6,231.8,189.2,204.7,173.4,156.9,159.3,176.4,161.8,172.0,159.7,113.3,101.9,76.6
Oil heating,304.6,212.7,205.4,199.2,152.7,156.8,175.0,133.3,148.0,126.7,126.2,113.8,121.9,118.4,113.0,106.3,93.0,96.4,81.4
Other heating,109.1,73.7,75.6,84.8,82.2,80.5,88.6,76.5,80.6,75.2,72.7,70.4,75.8,76.0,73.2,72.0,60.9,64.0,59.8
Industry,221.7,243.3,209.9,213.9,173.1,138.1,161.8,141.9,126.4,84.0,75.5,79.4,74.7,83.8,73.4,64.0,67.7,64.5,88.4
Machinery,121.1,122.7,119.8,123.5,125.4,118.8,114.8,111.4,134.3,116.9,117.2,113.3,112.9,114.7,108.8,113.8,113.8,100.4,100.7
Road transport,576.4,524.6,530.7,547.5,520.5,496.9,513.8,502.0,496.3,497.9,452.7,446.0,491.0,464.7,469.7,452.6,425.0,405.9,392.2
Rail transport,5.3,4.1,5.1,4.3,4.0,3.4,3.8,3.4,2.9,3.0,2.6,2.0,2.0,2.0,2.9,2.3,1.4,2.0,1.5
Water transport,37.3,31.3,32.7,34.0,30.7,32.8,29.1,25.5,27.7,27.6,25.0,24.0,23.1,21.1,20.9,21.3,21.7,21.0,14.1
Agriculture,324.3,298.5,299.4,299.3,309.4,300.1,302.6,295.7,295.3,301.3,298.7,290.1,298.0,292.3,292.3,304.8,302.7,289.4,283.2
Waste treatment,187.9,135.0,136.4,134.0,138.8,128.1,121.1,116.4,113.3,107.9,105.7,100.2,94.3,89.8,83.0,84.9,83.1,79.6,75.3
F-gases,2.6,52.1,59.0,59.9,61.4,60.8,58.8,58.7,58.1,57.3,55.5,52.9,49.9,45.8,43.1,41.1,37.8,35.5,31.8
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,2393.6,2210.0,2333.5,2331.8,2161.3,2188.2,2230.6,1992.5,1933.9,1860.3,1732.9,1648.2,1740.7,1658.6,1667.3,1593.9,1453.6,1415.3,1341.4
per person. tCO2e,9.9,9.7,10.2,10.3,9.5,9.7,9.9,8.8,8.6,8.3,7.7,7.4,7.9,7.5,7.6,7.4,6.7,6.6,6.3
population,240777,228675,228051,227131,226358,226116,225762,225302,224934,224556,223983,222957,221740,220398,218624,216752,215416,214281,212556
