SOUTH KARELIAHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,94.8,116.4,201.2,180.1,143.7,148.4,197.7,146.6,107.4,128.3,107.7,82.4,90.0,80.0,90.3,71.7,54.6,61.4,56.2
Electric heating,44.3,46.9,66.6,66.9,48.5,56.6,76.5,59.7,40.8,46.5,36.3,29.9,35.1,29.3,32.3,26.4,20.2,24.8,21.0
District heating,132.3,144.6,147.6,150.6,150.1,157.8,132.8,105.9,121.7,102.7,108.6,112.2,93.5,66.3,96.7,72.7,60.2,64.7,59.6
Oil heating,99.9,75.7,75.8,70.5,54.2,55.1,59.9,46.5,50.8,43.4,42.8,38.7,40.7,39.5,37.4,34.7,31.5,31.7,26.2
Other heating,44.5,37.2,35.9,38.7,39.9,40.9,46.1,40.7,42.1,38.3,37.7,36.1,46.5,45.6,42.9,42.2,38.6,43.4,38.5
Industry,45.8,36.7,34.0,30.7,25.4,19.9,23.4,20.3,20.0,20.8,18.6,17.7,17.1,18.1,14.8,12.7,12.6,10.3,16.5
Machinery,70.6,68.8,73.4,78.7,74.4,72.4,70.4,66.8,68.0,69.1,65.9,69.7,63.4,64.9,61.2,63.2,63.4,56.1,55.0
Road transport,293.0,298.1,299.4,309.6,294.9,277.5,288.1,281.9,277.0,278.7,251.7,246.5,269.6,253.0,253.6,242.6,223.7,214.6,200.7
Rail transport,17.7,14.1,18.2,16.3,14.7,13.0,15.0,13.7,11.6,12.3,11.0,8.4,8.7,8.8,9.5,9.3,7.6,8.2,7.6
Water transport,9.1,9.5,9.4,9.9,8.3,8.2,8.6,7.8,8.3,9.0,7.9,9.7,8.9,7.9,8.0,8.2,7.7,7.5,6.4
Agriculture,213.9,160.4,159.2,156.2,158.3,154.2,153.1,147.0,143.7,143.3,141.6,139.4,140.3,137.3,136.1,138.5,137.3,129.9,125.8
Waste treatment,112.3,73.6,76.2,75.0,73.7,70.0,72.5,70.3,69.8,66.3,63.7,59.6,55.9,52.8,50.7,52.9,52.5,49.3,46.8
F-gases,1.5,30.1,34.3,34.2,35.7,34.1,33.9,34.3,33.8,33.6,33.4,31.0,28.3,27.7,26.2,26.4,23.8,22.6,20.7
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,1179.5,1112.1,1231.4,1217.5,1121.9,1108.0,1178.0,1041.6,994.9,992.4,926.9,881.5,897.8,831.0,859.7,801.3,733.6,724.5,680.9
per person. tCO2e,8.4,8.3,9.2,9.1,8.4,8.3,8.9,7.9,7.5,7.5,7.0,6.7,6.9,6.4,6.7,6.3,5.8,5.7,5.4
population,140244,134786,134441,133899,133647,133210,132899,132527,132355,132252,131764,131155,130506,129865,128756,127757,126921,126107,125353
