Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
SOUTH OSTROBOTHNIAHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,127.1,158.3,276.7,246.7,195.5,211.4,273.0,207.1,153.6,180.6,150.6,116.0,129.3,113.5,128.1,102.5,80.4,91.6,83.1
Electric heating,76.2,83.9,117.7,118.5,88.0,100.0,135.2,105.2,78.5,88.8,69.8,57.3,64.6,53.7,59.9,49.6,38.5,47.0,40.5
District heating,156.5,205.5,224.8,241.2,217.9,275.1,318.8,302.8,300.7,247.1,252.8,260.9,288.1,250.4,271.5,274.1,249.8,227.9,177.2
Oil heating,280.7,199.2,196.8,188.4,144.0,146.2,161.2,123.7,138.0,116.4,115.9,105.9,111.7,107.2,103.0,97.8,87.5,91.4,78.3
Other heating,181.0,154.1,143.4,161.6,156.8,183.8,208.6,164.8,174.2,166.9,160.2,154.7,166.6,167.9,163.2,162.9,130.9,138.7,129.8
Industry,85.5,85.8,83.4,77.7,78.4,69.2,75.4,73.8,62.9,64.7,60.3,60.7,46.8,58.0,47.9,42.4,42.2,35.9,56.4
Machinery,160.5,164.8,168.0,171.0,172.0,161.1,162.3,154.4,163.2,165.1,157.8,156.0,154.8,156.9,153.6,165.8,154.7,140.4,137.2
Road transport,505.4,513.0,520.0,537.5,512.9,485.9,505.0,496.2,491.9,494.9,450.3,446.4,496.5,465.5,470.4,453.7,430.9,413.8,402.4
Rail transport,15.1,12.8,17.1,15.4,13.2,12.0,14.0,11.7,8.6,9.9,8.3,6.5,5.9,5.4,6.3,5.4,4.2,4.5,4.2
Water transport,2.2,2.2,2.3,2.3,2.0,1.9,2.0,1.7,1.8,1.9,1.8,1.8,1.7,1.7,1.7,1.8,2.0,2.1,1.8
Agriculture,880.2,818.3,823.6,825.2,845.4,835.2,848.5,829.2,831.4,852.5,862.6,862.0,861.4,854.8,855.4,878.4,886.6,867.1,852.3
Waste treatment,188.0,121.3,119.5,117.5,113.8,108.0,109.0,109.2,104.4,97.8,90.8,87.2,82.1,78.2,75.4,73.6,70.7,67.1,63.5
F-gases,2.2,51.3,57.4,58.3,61.5,59.4,58.3,56.6,56.1,56.0,54.0,51.7,48.5,44.7,42.2,40.4,37.1,34.9,30.7
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,2660.7,2570.6,2750.8,2761.2,2601.4,2649.2,2871.3,2636.2,2565.1,2542.4,2435.0,2367.1,2457.9,2357.8,2378.5,2348.4,2215.4,2162.3,2057.6
per person. tCO2e,12.9,12.9,13.8,13.9,13.1,13.3,14.5,13.3,12.9,12.8,12.3,12.0,12.5,12.1,12.2,12.2,11.5,11.3,10.8
population,207010,198856,198626,198831,198502,198477,198469,198671,198944,198831,198242,197371,196572,195583,194316,193207,192150,191762,190774
