Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
SOUTH SAVOHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,105.3,123.1,214.2,191.1,149.2,164.1,210.6,162.7,113.2,135.0,111.2,87.4,95.4,83.4,94.6,73.5,57.6,64.5,56.0
Electric heating,68.4,71.1,100.9,101.8,74.4,88.8,118.2,96.4,64.0,73.0,56.3,48.8,56.6,47.6,52.8,42.0,32.4,39.6,33.4
District heating,214.6,160.7,130.7,193.2,181.0,158.4,174.9,131.2,133.0,113.6,94.4,93.4,111.9,94.9,104.5,99.9,88.7,94.5,75.1
Oil heating,123.5,97.6,98.4,94.1,72.8,73.2,78.4,63.0,68.9,57.6,57.4,51.5,54.6,50.3,47.5,43.9,39.2,40.6,33.7
Other heating,69.8,45.8,43.4,45.3,45.3,48.2,51.3,43.2,47.4,44.2,44.5,42.1,45.5,44.6,42.7,39.8,40.2,44.2,41.2
Industry,43.3,39.7,36.7,35.2,29.4,24.3,27.2,22.8,21.4,21.0,17.5,22.2,19.0,22.5,16.9,14.9,13.9,12.4,17.6
Machinery,100.2,102.8,99.0,97.7,101.5,92.4,99.8,93.5,94.4,99.5,93.0,97.0,91.0,95.2,90.4,92.9,94.9,86.9,85.5
Road transport,336.4,327.7,330.3,339.1,322.5,306.9,318.0,312.3,306.8,307.6,280.2,274.1,294.4,282.1,282.4,271.1,253.8,243.0,233.7
Rail transport,8.3,6.8,9.4,9.0,8.2,7.6,9.0,8.2,7.3,7.6,6.5,4.9,4.5,4.4,5.0,4.6,3.7,3.8,4.2
Water transport,16.8,16.5,16.6,17.0,14.6,14.3,14.8,12.9,13.7,14.5,13.2,13.4,13.1,12.9,12.8,12.7,13.4,13.5,11.5
Agriculture,301.3,231.8,232.4,224.6,225.4,220.6,224.1,213.8,209.9,207.6,208.6,206.7,207.3,200.7,200.6,205.4,205.5,196.9,190.0
Waste treatment,142.0,92.4,94.5,94.7,91.8,82.8,81.4,83.4,79.1,74.5,71.4,70.9,69.6,67.5,64.2,64.0,64.1,62.9,59.6
F-gases,1.8,38.1,43.1,44.4,45.3,45.2,43.0,42.5,42.3,41.9,41.6,38.9,35.2,32.6,30.5,29.1,27.5,24.9,22.5
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,1531.5,1354.1,1449.6,1487.2,1361.4,1326.8,1450.6,1285.9,1201.3,1197.5,1095.8,1051.3,1098.1,1038.7,1044.9,994.0,934.8,927.8,864.1
per person. tCO2e,9.4,8.9,9.6,10.0,9.2,9.0,9.9,8.8,8.3,8.3,7.7,7.4,7.8,7.5,7.7,7.4,7.0,7.0,6.6
population,163462,151395,150471,149032,147892,146979,146166,145353,144393,143638,142746,141621,140422,138822,136474,134314,132702,131688,130451
