Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
SOUTHWEST FINLANDHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,311.0,394.4,689.2,612.4,479.3,526.8,671.3,506.1,370.1,441.6,368.3,289.3,306.9,273.6,325.2,258.7,196.4,224.7,204.4
Electric heating,146.7,171.5,236.1,243.2,178.8,208.4,280.0,218.7,157.0,188.2,139.3,118.0,138.0,115.4,129.0,104.3,79.9,99.8,88.7
District heating,495.5,625.5,585.5,624.1,625.8,658.4,746.9,595.4,717.9,662.7,647.1,504.1,552.8,523.3,437.4,329.9,186.6,244.5,210.2
Oil heating,547.0,343.7,328.7,318.3,248.2,257.3,282.8,216.7,234.5,207.1,198.9,183.7,194.1,184.8,178.6,165.6,146.1,151.6,126.3
Other heating,324.9,122.6,115.4,125.7,122.0,123.3,134.7,122.7,119.6,112.9,105.7,101.3,105.3,99.1,91.0,88.1,93.3,98.7,94.2
Industry,226.6,220.6,193.5,186.6,160.8,131.5,147.4,121.4,112.0,106.9,89.8,105.9,87.6,99.8,91.9,84.1,74.3,133.8,171.1
Machinery,217.6,218.6,225.0,233.0,236.3,225.7,218.3,203.4,226.3,217.9,212.6,204.9,195.9,204.8,211.3,213.4,218.7,199.7,198.5
Road transport,951.6,941.7,949.8,978.7,933.0,885.0,911.5,891.7,882.6,886.6,807.8,795.5,885.3,835.8,842.8,804.7,755.8,716.9,691.8
Rail transport,8.7,8.2,11.8,10.5,8.7,7.9,9.4,7.9,6.0,6.6,5.4,3.9,3.6,3.4,3.8,3.3,2.6,2.8,2.4
Water transport,99.7,100.4,106.9,115.1,106.6,105.9,99.4,100.7,109.9,110.2,102.3,96.5,94.5,94.3,94.3,81.8,69.6,66.4,50.0
Agriculture,476.8,423.4,428.7,430.8,447.6,426.0,431.0,421.7,416.8,426.5,434.8,420.3,439.7,429.8,421.2,445.1,438.4,416.4,403.9
Waste treatment,300.9,217.8,222.6,217.9,212.9,198.9,193.0,189.3,183.0,167.9,159.8,156.5,144.5,143.1,134.2,128.5,124.5,120.6,114.7
F-gases,4.6,102.9,116.2,119.3,121.4,121.0,119.2,116.7,117.3,117.4,111.7,109.0,102.7,94.5,89.8,84.6,79.9,73.8,68.3
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,4111.5,3891.1,4209.5,4215.7,3881.4,3876.1,4244.8,3712.4,3652.9,3652.6,3383.6,3089.0,3250.9,3101.8,3050.3,2792.2,2466.1,2549.7,2424.7
per person. tCO2e,9.7,8.5,9.2,9.2,8.4,8.4,9.1,7.9,7.8,7.8,7.2,6.5,6.8,6.5,6.4,5.8,5.1,5.3,5.0
population,425282,455584,457789,459235,461177,462914,465183,467217,468936,470880,472725,474323,475543,477677,478582,479341,481403,483477,485567
