Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
UUSIMAAHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,991.0,1355.8,2344.8,2147.7,1696.8,1844.9,2274.3,1736.6,1262.2,1514.6,1276.2,1003.9,1084.0,972.6,1104.6,885.6,699.6,785.0,717.3
Electric heating,326.1,417.5,579.3,587.1,430.2,506.1,660.8,517.8,373.0,436.5,329.8,274.5,322.4,272.4,302.7,248.5,190.3,234.4,209.5
District heating,2447.9,2413.5,2573.3,2434.0,2177.2,2495.8,2664.7,2335.0,2673.7,2513.7,2333.0,2121.1,2474.1,2428.0,2327.7,2183.7,1724.4,1928.7,2181.1
Oil heating,709.0,509.5,502.9,470.2,356.3,368.0,405.6,313.0,338.0,299.2,289.2,257.9,281.6,268.2,258.2,236.4,206.9,210.9,172.8
Other heating,299.5,101.7,104.8,109.1,102.2,102.1,112.1,97.5,102.7,99.4,97.1,99.8,105.7,102.7,97.8,97.6,98.7,111.5,106.3
Industry,340.1,290.7,279.4,253.7,228.2,194.6,200.5,169.7,175.6,171.2,133.9,157.5,131.5,153.5,123.3,115.8,139.2,138.0,132.5
Machinery,325.8,349.8,338.6,347.9,374.2,356.6,333.4,326.7,362.0,339.4,334.4,361.6,367.1,391.4,405.4,424.3,420.5,395.4,406.4
Road transport,2389.0,2549.9,2579.0,2649.2,2554.7,2429.7,2506.2,2456.4,2431.9,2444.8,2250.6,2219.6,2460.6,2327.1,2345.9,2275.8,2119.0,2005.8,1931.0
Rail transport,36.4,39.0,61.7,48.0,39.7,40.7,50.3,41.3,30.0,35.8,30.4,24.3,26.0,26.8,31.4,24.4,18.8,19.5,17.9
Water transport,130.9,129.3,134.4,133.9,126.6,113.9,123.4,120.2,109.0,110.3,101.4,103.9,99.7,104.3,105.0,127.8,103.0,95.7,87.8
Agriculture,325.3,255.6,252.8,250.5,257.6,246.4,244.9,234.1,230.3,235.8,236.4,233.1,240.7,233.2,228.3,241.8,238.1,228.7,220.7
Waste treatment,794.3,415.0,480.0,462.7,391.8,428.9,405.2,373.7,385.6,358.9,357.0,330.2,293.0,275.4,261.7,242.6,233.3,202.4,187.3
F-gases,13.7,270.2,311.3,314.5,332.3,333.2,331.8,330.3,335.5,334.7,332.3,297.2,296.3,279.5,272.9,261.6,247.1,230.3,219.5
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,9129.1,9097.3,10542.2,10208.6,9067.9,9460.8,10313.1,9052.3,8809.5,8894.3,8101.7,7484.6,8182.8,7835.2,7864.8,7365.9,6438.8,6586.2,6589.9
per person. tCO2e,7.4,6.3,7.2,6.9,6.0,6.2,6.7,5.8,5.6,5.6,5.1,4.6,5.0,4.7,4.7,4.4,3.8,3.8,3.8
population,1232236,1452083,1467453,1483719,1501511,1517542,1532309,1549058,1566835,1585473,1603388,1620261,1638293,1655624,1671024,1689725,1702678,1714741,1733033
