ÅLANDHinku calculation without emission credits,1990,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electricity,20.0,25.2,44.5,39.6,30.2,32.3,41.4,31.6,23.4,28.1,24.1,18.5,20.5,18.0,20.5,16.4,12.8,15.0,13.2
Electric heating,9.8,11.9,16.0,16.4,12.0,14.3,20.2,15.8,11.2,13.8,10.1,8.8,10.2,8.9,10.0,7.8,5.9,7.3,6.5
District heating,8.1,21.6,22.7,22.5,10.7,10.3,13.2,11.0,13.4,8.6,7.0,5.5,8.4,7.5,10.9,11.7,4.3,9.3,2.9
Oil heating,42.2,31.7,30.4,28.8,22.7,23.0,25.8,20.0,21.7,19.4,18.3,17.0,18.0,17.4,16.5,15.1,13.4,13.3,11.6
Other heating,6.9,4.5,5.2,5.7,5.7,4.6,5.1,4.9,5.2,5.0,4.8,4.9,5.0,5.1,4.7,4.7,5.2,5.4,5.4
Industry,5.2,5.2,4.8,4.4,3.6,2.9,3.7,3.0,3.1,3.2,2.6,3.4,3.1,3.9,3.2,2.7,2.8,2.2,3.6
Machinery,9.4,9.2,9.2,10.3,10.5,9.9,11.0,10.3,10.5,9.8,10.2,9.4,10.2,9.5,8.6,9.3,9.2,7.9,7.8
Road transport,84.0,53.4,61.3,64.1,59.7,55.6,57.4,60.2,58.5,56.3,51.4,52.5,55.6,52.4,53.3,60.9,51.7,43.2,45.8
Rail transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water transport,53.1,61.0,60.1,59.8,57.1,56.3,53.8,59.6,68.6,69.9,59.9,59.3,57.6,55.8,55.3,46.3,33.0,32.6,33.1
Agriculture,32.8,39.1,40.8,39.9,41.8,42.3,42.3,40.5,40.5,41.9,44.1,42.3,44.5,43.8,42.2,41.6,42.3,41.6,38.6
Waste treatment,16.7,14.6,14.6,14.5,14.2,13.4,13.5,13.3,12.7,12.2,11.5,11.0,10.3,9.9,9.5,9.3,8.9,8.4,8.0
F-gases,0.3,7.8,9.2,9.7,10.1,9.4,9.5,9.0,9.2,9.3,9.3,8.7,8.8,8.1,8.2,7.9,7.3,6.5,5.4
Emission credits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total emissions. ktCO2e,288.4,285.3,318.8,315.6,278.3,274.3,296.8,279.3,278.0,277.5,253.2,241.2,252.1,240.2,242.9,233.6,196.8,192.9,181.8
per person. tCO2e,11.7,10.7,11.8,11.6,10.1,9.9,10.6,9.8,9.8,9.7,8.8,8.3,8.6,8.1,8.2,7.8,6.5,6.4,6.0
population,24604,26766,26923,27153,27456,27734,28007,28354,28501,28666,28916,28983,29214,29489,29789,29884,30129,30344,30359
