year,oil_gas_floor_area_m2,coal_coke_floor_area_m2,wood_peat_floor_area_m2,other_floor_area_m2,region,wood_fuels_in_1000m3,population
2010,15867179,325759,2013425,3396580,Uusimaa,794,1532309
2010,10886484,147966,2543809,1854141,Southwest Finland,429,465183
2010,6215131,133024,1901196,1615749,Satakunta,1188,225762
2010,3168190,66451,1124856,669375,Kanta-Haeme,266,174555
2010,8772034,69336,2669680,1412194,Pirkanmaa,732,491746
2010,3447456,18583,1298834,515189,Paeijaet-Haeme,399,208777
2010,5061863,64918,988111,1107744,Kymenlaakso,1168,175377
2010,2122082,51130,1039006,562564,South Karelia,1652,132899
2010,2526050,4261,1972947,448786,South Savo,1027,146166
2010,3167467,12902,2548712,737984,North Savo,836,253337
2010,2510955,2455,2013497,577574,North Karelia,1205,169778
2010,4616305,93804,2518522,857223,Central Finland,1727,271083
2010,5143874,3745,3094222,746276,South Ostrobothnia,363,198469
2010,4601983,94508,1498037,923641,Ostrobothnia,1088,172981
2010,1543725,3052,612487,350552,Central Ostrobothnia,173,68321
2010,4941286,36524,3235564,1258627,North Ostrobothnia,1294,398335
2010,980105,1291,1048848,229578,Kainuu,495,78703
2010,3416582,8016,1950468,806918,Lapland,1113,183488
2010,882033,2428,189182,137059,Aaland,72,28007
2011,15753293,318763,2020710,3518792,Uusimaa,756,1549058
2011,10804827,145284,2550992,1910472,Southwest Finland,491,467217
2011,6214158,132591,1907226,1655509,Satakunta,1242,225302
2011,3167561,66094,1121635,690221,Kanta-Haeme,323,175230
2011,8804798,68165,2679394,1518133,Pirkanmaa,807,495242
2011,3427593,18275,1314889,553224,Paeijaet-Haeme,419,209238
2011,5059198,65229,979590,1128695,Kymenlaakso,1149,174827
2011,2129488,50918,1036389,569790,South Karelia,1615,132527
2011,2507460,4261,1972067,488105,South Savo,1028,145353
2011,3166725,13245,2550261,831871,North Savo,892,253472
2011,2510255,2455,2021248,625476,North Karelia,1102,169733
2011,4633532,94034,2516259,876592,Central Finland,1784,271874
2011,5121851,4208,3114991,792336,South Ostrobothnia,401,198671
2011,4585936,94222,1500637,934748,Ostrobothnia,1289,174170
2011,1524008,3052,621126,354144,Central Ostrobothnia,197,68484
2011,4893284,36672,3246644,1294879,North Ostrobothnia,1366,401201
2011,936833,1291,1050714,232403,Kainuu,525,77984
2011,3409384,8198,1927274,839405,Lapland,1316,183330
2011,882295,2428,190139,146767,Aaland,72,28354
2012,15695496,317887,2053846,3577576,Uusimaa,871,1566835
2012,10773872,144589,2582662,1906988,Southwest Finland,501,468936
2012,6255035,132507,1920200,1675424,Satakunta,1455,224934
2012,3201070,65731,1126451,699183,Kanta-Haeme,405,175472
2012,8820034,67401,2715751,1548069,Pirkanmaa,1053,499006
2012,3431396,17775,1313594,560211,Paeijaet-Haeme,609,209503
2012,4996289,64345,984326,1131805,Kymenlaakso,1006,174466
2012,2125744,51034,1036708,582144,South Karelia,1678,132355
2012,2479776,4298,1975789,479545,South Savo,1042,144393
2012,3158811,13074,2563848,828244,North Savo,1092,253524
2012,2482962,2455,2028710,641689,North Karelia,1050,169496
