Year,Num of passengers,Freight and Mail Total Tonnes,Region
2019,21998427,221312,Uusimaa
2019,28032,0,Lapland
2019,240745,4,Lapland
2019,127444,21,North Karelia
2019,66718,9,Central Finland
2019,87884,19,Kainuu
2019,64234,13,Lapland
2019,366188,8,Lapland
2019,56547,13,Ostrobothnia
2019,244744,25,North Savo
2019,115091,2,North Ostrobothnia
2019,81160,0,South Karelia
2019,51756,108,Aaland
2019,1064917,253,North Ostrobothnia
2019,14424,0,Satakunta
2019,664710,78,Lapland
2019,10489,0,South Savo
2019,222964,113,Pirkanmaa
2019,454905,3861,Southwest Finland
2019,305920,16,Ostrobothnia
2020,5084983,142980,Uusimaa
2020,5266,0,Lapland
2020,115443,0,Lapland
2020,22089,4,North Karelia
2020,10595,1,Central Finland
2020,17428,5,Kainuu
2020,13792,5,Lapland
2020,207587,4,Lapland
2020,9214,2,Ostrobothnia
2020,57938,13,North Savo
2020,71539,1,North Ostrobothnia
2020,21757,0,South Karelia
2020,24060,45,Aaland
2020,315096,200,North Ostrobothnia
2020,5313,0,Satakunta
2020,269626,56,Lapland
2020,1202,0,South Savo
2020,35921,35,Pirkanmaa
2020,113492,3856,Southwest Finland
2020,60099,4,Ostrobothnia
2021,4295289,176429,Uusimaa
2021,19797,0,Lapland
2021,111120,0,Lapland
2021,9343,1,North Karelia
2021,4521,0,Central Finland
2021,17888,2,Kainuu
2021,17016,2,Lapland
2021,184058,8,Lapland
2021,6484,1,Ostrobothnia
2021,36560,13,North Savo
2021,75076,1,North Ostrobothnia
2021,13720,0,South Karelia
2021,18305,19,Aaland
2021,302859,236,North Ostrobothnia
2021,4711,0,Satakunta
2021,256532,63,Lapland
2021,613,0,South Savo
2021,8026,1,Pirkanmaa
2021,51535,2570,Southwest Finland
2021,19408,2,Ostrobothnia
2022,12977702,171155,Uusimaa
2022,29487,0,Lapland
2022,198809,1,Lapland
2022,19401,2,North Karelia
2022,10897,2,Central Finland
2022,26061,2,Kainuu
2022,22852,4,Lapland
2022,339223,8,Lapland
2022,17239,4,Ostrobothnia
2022,126586,11,North Savo
2022,118130,1,North Ostrobothnia
2022,35796,0,South Karelia
2022,26747,11,Aaland
2022,636385,253,North Ostrobothnia
2022,11639,0,Satakunta
2022,564056,61,Lapland
2022,3160,0,South Savo
2022,168701,179,Pirkanmaa
2022,133522,1044,Southwest Finland
2022,114027,5,Ostrobothnia
2023,15411792,172577,Uusimaa
2023,32350,0,Lapland
2023,221525,1,Lapland
2023,40941,2,North Karelia
2023,23476,1,Central Finland
2023,41125,2,Kainuu
2023,37694,3,Lapland
2023,376614,6,Lapland
2023,29469,3,Ostrobothnia
2023,147525,8,North Savo
2023,121479,1,North Ostrobothnia
2023,33355,0,South Karelia
2023,37636,13,Aaland
2023,556589,230,North Ostrobothnia
2023,12089,0,Satakunta
2023,738003,65,Lapland
2023,3041,0,South Savo
2023,213475,149,Pirkanmaa
2023,233659,2553,Southwest Finland
2023,154658,4,Ostrobothnia
