Year,Product Use,Waste and Sewage,Machinery,Heating,Electricity and District Heating,Agriculture,Transportation,Industry,Region,Total Emissions
1990,71,542,681,1507,710,1332,2872,4366,blekinge County,12081
2000,218,465,566,1050,556,1259,3013,4908,blekinge County,12035
2005,326,382,551,548,596,1161,3216,4834,blekinge County,11614
2010,289,271,560,321,1298,1123,3269,4886,blekinge County,12017
2015,282,189,482,179,566,1140,2920,4577,blekinge County,10335
2016,285,177,466,169,803,1138,2825,4664,blekinge County,10527
2017,284,173,476,159,592,1167,2793,4703,blekinge County,10347
2018,264,161,458,143,681,1147,2798,4961,blekinge County,10613
2019,247,146,496,145,668,1172,2766,4351,blekinge County,9991
2020,201,139,484,139,505,1175,2532,3795,blekinge County,8970
2021,182,125,505,138,662,1158,2549,4637,blekinge County,9956
1990,8,104,54,216,17,136,295,148,dalarna County,978
2000,23,89,52,155,59,131,305,147,dalarna County,961
2005,29,72,49,83,102,123,326,118,dalarna County,902
2010,29,51,49,62,159,117,303,102,dalarna County,872
2015,26,34,43,35,9,119,256,67,dalarna County,589
2016,26,32,39,33,16,117,235,58,dalarna County,556cpt
2017,26,30,42,30,16,118,239,45,dalarna County,546
2018,24,28,43,28,17,118,232,72,dalarna County,562
2019,22,25,44,31,9,113,230,40,dalarna County,514
2020,18,22,46,30,14,111,209,32,dalarna County,482
2021,17,19,45,29,90,107,212,33,dalarna County,552
1990,2,32,54,77,5,280,178,1659,gavleborg County,2287
2000,8,27,43,55,5,282,191,1760,gavleborg County,2371
2005,11,22,39,33,4,276,205,1780,gavleborg County,2370
2010,11,15,45,28,5,271,214,1690,gavleborg County,2279
2015,9,11,38,16,2,270,205,1936,gavleborg County,2487
2016,10,10,38,16,2,270,205,1867,gavleborg County,2418
2017,10,10,37,15,2,277,220,1754,gavleborg County,2325
2018,9,10,35,13,6,266,237,1856,gavleborg County,2432
2019,8,10,35,15,3,259,240,1680,gavleborg County,2250
2020,7,10,36,14,2,253,186,1589,gavleborg County,2097
2021,6,8,36,14,8,246,138,1557,gavleborg County,2013
1990,86,106,137,362,72,178,675,775,gotland County,2391
2000,60,93,130,256,45,172,700,925,gotland County,2381
2005,67,79,133,126,54,158,745,1062,gotland County,2424
2010,63,55,146,56,111,142,700,725,gotland County,1998
2015,54,39,125,32,81,141,623,642,gotland County,1737
2016,56,36,126,29,91,139,592,663,gotland County,1732
2017,50,32,120,30,94,141,549,660,gotland County,1676
2018,46,31,116,25,89,142,510,633,gotland County,1592
2019,44,28,124,22,94,141,505,613,gotland County,1571
2020,34,27,128,21,90,139,466,568,gotland County,1473
2021,33,25,128,21,97,138,468,603,gotland County,1513
1990,15,150,137,257,210,178,718,522,halland County,2187
2000,44,127,131,179,173,169,752,577,halland County,2152
2005,56,103,122,91,207,159,808,522,halland County,2068
2010,56,74,151,42,92,150,812,577,halland County,1954
2015,47,50,139,24,63,157,708,285,halland County,1473
2016,48,46,127,23,75,158,678,304,halland County,1459
2017,47,42,128,23,75,159,608,294,halland County,1376
2018,43,40,121,19,77,156,582,288,halland County,1326
2019,41,36,136,17,71,155,576,264,halland County,1296
2020,33,32,133,16,66,151,525,227,halland County,1183
2021,30,30,133,16,46,152,528,247,halland County,1182
1990,6,106,109,148,118,137,472,27,jamtland County,1123
2000,20,91,105,105,35,141,488,28,jamtland County,1013
2005,26,75,95,56,42,132,521,19,jamtland County,966
2010,26,52,118,28,37,122,424,20,jamtland County,827
2015,21,34,110,17,27,119,371,18,jamtland County,717
2016,22,32,111,16,24,119,354,18,jamtland County,696
2017,21,30,92,16,25,119,335,15,jamtland County,653
2018,20,28,96,12,30,117,227,15,jamtland County,545
2019,18,25,104,12,18,115,227,14,jamtland County,533
2020,15,23,101,11,9,114,209,12,jamtland County,494
2021,14,20,97,11,10,115,210,12,jamtland County,489
1990,19,227,112,392,86,432,757,168,jonkoping County,2193
2000,50,192,108,272,34,431,807,177,jonkoping County,2071
2005,63,156,155,141,83,432,877,121,jonkoping County,2028
2010,64,107,121,69,169,416,947,130,jonkoping County,2023
2015,59,73,103,39,112,421,822,126,jonkoping County,1755
2016,59,67,96,36,107,423,786,125,jonkoping County,1699
2017,59,64,103,36,112,428,792,100,jonkoping County,1694
2018,55,60,100,30,112,423,782,91,jonkoping County,1653
2019,51,53,106,28,108,418,772,91,jonkoping County,1627
2020,42,51,105,26,112,410,703,79,jonkoping County,1528
2021,38,45,117,26,122,412,705,71,jonkoping County,1536
1990,14,187,114,339,62,517,547,320,kalmar County,2100
2000,39,159,101,237,54,531,575,507,kalmar County,2203
2005,51,128,102,123,69,543,615,502,kalmar County,2133
2010,47,88,108,65,89,559,594,443,kalmar County,1993
2015,40,57,93,36,40,569,535,348,kalmar County,1718
2016,41,54,89,34,59,565,518,352,kalmar County,1712
2017,40,52,92,33,59,575,496,340,kalmar County,1687
2018,37,48,91,29,55,559,480,320,kalmar County,1619
2019,35,43,93,28,61,554,473,140,kalmar County,1427
2020,28,40,89,26,59,555,424,66,kalmar County,1287
2021,26,35,100,26,73,542,424,61,kalmar County,1287
1990,10,154,76,228,127,249,507,139,kronoberg County,1490
2000,28,130,72,161,39,240,536,96,kronoberg County,1302
2005,34,105,196,84,52,241,580,52,kronoberg County,1344
2010,35,72,70,41,114,229,564,51,kronoberg County,1176
2015,32,46,63,23,48,223,477,41,kronoberg County,953
2016,33,44,56,22,57,223,457,48,kronoberg County,940
2017,33,41,58,22,50,222,458,38,kronoberg County,922
2018,30,39,58,18,51,220,438,42,kronoberg County,896
2019,28,35,64,17,46,220,426,38,kronoberg County,874
2020,23,32,61,15,28,218,386,35,kronoberg County,798
2021,21,29,63,16,30,219,389,33,kronoberg County,800
1990,15,226,296,256,1598,165,766,1821,norrbotten County,5143
2000,41,193,317,175,1783,148,796,1990,norrbotten County,5443
2005,51,157,315,86,2442,144,850,2043,norrbotten County,6088
2010,51,110,329,36,2238,134,710,2326,norrbotten County,5934
2015,42,73,316,21,1697,128,648,1666,norrbotten County,4591
2016,42,68,294,19,2005,126,629,2369,norrbotten County,5552
2017,42,64,282,19,2332,126,644,2227,norrbotten County,5736
2018,38,60,287,16,2283,125,603,1973,norrbotten County,5385
2019,36,53,319,14,1624,124,604,2651,norrbotten County,5425
2020,29,47,322,13,2028,124,559,2097,norrbotten County,5219
2021,26,41,335,14,2018,122,572,2131,norrbotten County,5259
1990,15,221,99,323,378,241,600,407,orebro County,2284
2000,42,196,94,223,281,235,631,281,orebro County,1983
2005,52,222,87,111,301,212,679,222,orebro County,1886
2010,53,189,112,50,300,202,695,160,orebro County,1761
2015,49,179,103,28,80,204,609,159,orebro County,1411
2016,49,180,95,26,148,204,580,167,orebro County,1449
2017,49,186,91,26,109,205,555,162,orebro County,1383
2018,46,179,86,22,125,201,545,151,orebro County,1355
2019,43,166,93,20,113,202,534,150,orebro County,1321
2020,35,156,93,18,73,208,486,135,orebro County,1204
