Year,Region,Population,Waste And Sewage,Machinery,Electricity And District Heating,Other Heating,Agriculture,Transportation,Industry,Total Emissions
1990,Dalarna County,,104,54,17,216.0,136,295,148,978
1990,Norrbotten County,,226,296,1598,256.0,165,766,1821,5143
1990,Kalmar County,,187,114,62,339.0,517,547,320,2100
1990,Vastragotaland County,,542,681,710,1507.0,1332,2872,4366,12081
1990,Sodermanland County,,218,99,186,276.0,322,644,2431,4189
1990,Kronoberg County,,154,76,127,228.0,249,507,139,1490
1990,Jamtland County,,106,109,118,148.0,137,472,27,1123
1990,Jonkoping County,,227,112,86,392.0,432,757,168,2193
1990,Orebro County,,221,99,378,323.0,241,600,407,2284
1990,Vastmanland County,,151,98,618,198.0,183,517,642,2420
1990,Uppsala County,,59,104,487,305.0,355,714,143,2180
1990,Stockholm County,,555,510,1163,1449.0,189,2821,506,7265
1990,Blekinge County,,542,681,710,1507.0,1332,2872,4366,12081
1990,Gotland County,,106,137,72,362.0,178,675,775,2391
1990,Gavleborg County,,32,54,5,77.0,280,178,1659,2287
1990,Skane County,,584,506,876,1093.0,1272,2290,1854,8529
1990,Varmland County,,158,113,107,505.0,211,638,498,2245
1990,Vasternorrland County,,103,140,99,292.0,131,600,1544,2923
1990,Halland County,,150,137,210,257.0,178,718,522,2187
1990,Vasterbotten County,,92,176,171,216.0,218,564,412,1862
1990,Ostergotland County,,78,164,653,398.0,509,899,328,3049
2000,Halland County,,127,131,173,179.0,169,752,577,2152
2000,Blekinge County,,465,566,556,1050.0,1259,3013,4908,12035
2000,Vasternorrland County,,87,123,147,204.0,121,628,1182,2532
2000,Jamtland County,,91,105,35,105.0,141,488,28,1013
2000,Vastmanland County,,132,87,539,132.0,173,542,633,2276
2000,Uppsala County,,52,98,501,211.0,325,743,159,2131
2000,Skane County,,505,416,706,775.0,1191,2393,1667,7815
2000,Stockholm County,,478,425,900,982.0,173,2910,465,6577
2000,Vastragotaland County,,465,566,556,1050.0,1259,3013,4908,12035
2000,Jonkoping County,,192,108,34,272.0,431,807,177,2071
2000,Orebro County,,196,94,281,223.0,235,631,281,1983
2000,Norrbotten County,,193,317,1783,175.0,148,796,1990,5443
2000,Vasterbotten County,,79,156,111,149.0,200,590,374,1697
2000,Gavleborg County,,27,43,5,55.0,282,191,1760,2371
2000,Kronoberg County,,130,72,39,161.0,240,536,96,1302
2000,Dalarna County,,89,52,59,155.0,131,305,147,961
2000,Sodermanland County,,184,93,52,191.0,289,673,2580,4101
2000,Gotland County,,93,130,45,256.0,172,700,925,2381
2000,Kalmar County,,159,101,54,237.0,531,575,507,2203
2000,Ostergotland County,,68,140,376,271.0,505,943,414,2778
2000,Varmland County,,134,108,30,356.0,207,668,701,2247
2005,Halland County,,103,122,207,91.0,159,808,522,2068
2005,Stockholm County,,394,416,1266,479.0,153,3079,354,6449
2005,Vasternorrland County,,71,107,202,102.0,117,673,1021,2343
2005,Blekinge County,,382,551,596,548.0,1161,3216,4834,11614
2005,Vasterbotten County,,65,152,153,79.0,195,634,331,1657
2005,Sodermanland County,,148,101,28,98.0,261,721,2651,4057
2005,Vastragotaland County,,382,551,596,548.0,1161,3216,4834,11614
2005,Uppsala County,,44,101,521,108.0,285,806,146,2064
2005,Kronoberg County,,105,196,52,84.0,241,580,52,1344
2005,Vastmanland County,,111,82,586,68.0,151,582,671,2298
