"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,14,103,140,292,99,131,600,1544
2000,40,87,123,204,147,121,628,1182
2005,50,71,107,102,202,117,673,1021
2010,51,49,144,46,250,111,616,698
2015,41,33,123,27,117,103,540,488
2016,41,31,113,25,137,102,521,532
2017,41,29,116,25,135,99,481,554
2018,37,28,106,20,144,99,439,593
2019,35,25,113,19,140,99,437,558
2020,28,23,113,17,115,96,398,542
2021,26,21,109,18,159,93,399,533
